lead_id,customer_id,lead_date,channel,campaign_id,message_type,attempted,connected,contracted,policy_id,contract_date,premium
L20251002_121841,U10121841,2025-10-02,google,GO_C04,DA,0,0,0,,,0
L20251109_108705,U10108705,2025-11-09,google,GO_C03,SA,0,0,0,,,0
L20250826_170480,U10170480,2025-08-26,google,GO_C06,DA,0,0,0,,,0
L20260102_434979,U10434979,2026-01-02,toss,TO_C03,SA,1,1,1,P20260115_934334,2026-01-15,70925
L20250907_354761,U10354761,2025-09-07,naver,NA_C04,DA,1,0,0,,,0
L20260101_178287,U10178287,2026-01-01,google,GO_C06,DA,0,0,0,,,0
L20250911_066302,U10066302,2025-09-11,google,GO_C02,SA,1,1,1,P20251008_985787,2025-10-08,49475
L20251018_162340,U10162340,2025-10-18,google,GO_C05,SA,1,1,1,P20251115_249033,2025-11-15,60240
L20260111_405309,U10405309,2026-01-11,naver,NA_C06,DA,1,0,0,,,0
L20251015_056341,U10056341,2025-10-15,google,GO_C02,DA,0,0,0,,,0
L20250813_210545,U10210545,2025-08-13,kakao,KA_C04,DA,1,1,1,P20250827_463033,2025-08-27,61407
L20251013_206041,U10206041,2025-10-13,kakao,KA_C03,DA,1,0,0,,,0
L20251114_420502,U10420502,2025-11-14,toss,TO_C01,SA,1,1,0,,,0
L20251125_273119,U10273119,2025-11-25,meta,ME_C05,DA,0,0,0,,,0
L20260109_201825,U10201825,2026-01-09,kakao,KA_C02,DA,0,0,0,,,0
L20250817_132335,U10132335,2025-08-17,google,GO_C04,SA,1,1,1,P20250914_530911,2025-09-14,58351
L20250902_181247,U10181247,2025-09-02,google,GO_C06,SA,0,0,0,,,0
L20250909_247907,U10247907,2025-09-09,meta,ME_C02,DA,1,0,0,,,0
L20251126_164754,U10164754,2025-11-26,google,GO_C05,SA,1,0,0,,,0
L20251207_070997,U10070997,2025-12-07,google,GO_C02,SA,1,1,1,P20260105_299430,2026-01-05,61528
L20251205_268759,U10268759,2025-12-05,meta,ME_C04,SA,0,0,0,,,0
L20260121_116325,U10116325,2026-01-21,google,GO_C03,SA,0,0,0,,,0
L20251223_046761,U10046761,2025-12-23,google,GO_C01,SA,0,0,0,,,0
L20251101_014715,U10014715,2025-11-01,google,GO_C01,DA,0,0,0,,,0
L20250913_160188,U10160188,2025-09-13,google,GO_C05,SA,1,0,0,,,0
L20251214_060746,U10060746,2025-12-14,google,GO_C02,DA,0,0,0,,,0
L20250914_279838,U10279838,2025-09-14,meta,ME_C06,DA,0,0,0,,,0
L20251209_338605,U10338605,2025-12-09,naver,NA_C02,SA,1,0,0,,,0
L20260117_216548,U10216548,2026-01-17,kakao,KA_C04,SA,1,0,0,,,0
L20250923_103872,U10103872,2025-09-23,google,GO_C03,SA,1,1,0,,,0
L20260119_270025,U10270025,2026-01-19,meta,ME_C04,SA,1,0,0,,,0
L20251229_047608,U10047608,2025-12-29,google,GO_C01,SA,0,0,0,,,0
L20260126_050954,U10050954,2026-01-26,google,GO_C01,SA,0,0,0,,,0
L20250827_275317,U10275317,2025-08-27,meta,ME_C05,SA,0,0,0,,,0
L20251105_281600,U10281600,2025-11-05,meta,ME_C06,DA,1,1,1,P20251115_340581,2025-11-15,57083
L20260109_341607,U10341607,2026-01-09,naver,NA_C02,SA,1,1,1,P20260111_874807,2026-01-11,38710
L20251222_452285,U10452285,2025-12-22,toss,TO_C06,DA,0,0,0,,,0
L20251209_239054,U10239054,2025-12-09,meta,ME_C01,DA,0,0,0,,,0
L20260110_240406,U10240406,2026-01-10,meta,ME_C01,DA,1,1,1,P20260118_130172,2026-01-18,53920
L20251101_174466,U10174466,2025-11-01,google,GO_C06,DA,0,0,0,,,0
L20260118_385793,U10385793,2026-01-18,naver,NA_C05,DA,0,0,0,,,0
L20251203_152429,U10152429,2025-12-03,google,GO_C05,DA,0,0,0,,,0
L20251220_046378,U10046378,2025-12-20,google,GO_C01,SA,1,1,1,P20260117_921970,2026-01-17,54495
L20250824_430079,U10430079,2025-08-24,toss,TO_C03,DA,1,1,1,P20250921_203197,2025-09-21,68837
L20251015_190327,U10190327,2025-10-15,kakao,KA_C01,DA,1,1,1,P20251020_365551,2025-10-20,50568
L20251008_055829,U10055829,2025-10-08,google,GO_C02,DA,0,0,0,,,0
L20251121_295072,U10295072,2025-11-21,naver,NA_C01,DA,1,0,0,,,0
L20260108_258724,U10258724,2026-01-08,meta,ME_C03,SA,0,0,0,,,0
L20260121_028271,U10028271,2026-01-21,google,GO_C01,DA,0,0,0,,,0
L20250929_356124,U10356124,2025-09-29,naver,NA_C04,DA,0,0,0,,,0
L20250821_308404,U10308404,2025-08-21,naver,NA_C02,DA,1,1,1,P20250830_782055,2025-08-30,54526
L20251027_276507,U10276507,2025-10-27,meta,ME_C05,SA,0,0,0,,,0
L20251116_318444,U10318444,2025-11-16,naver,NA_C02,DA,1,1,1,P20251206_625621,2025-12-06,57669
L20250903_433302,U10433302,2025-09-03,toss,TO_C03,SA,0,0,0,,,0
L20251129_337674,U10337674,2025-11-29,naver,NA_C02,SA,0,0,0,,,0
L20251001_067271,U10067271,2025-10-01,google,GO_C02,SA,0,0,0,,,0
L20250825_329218,U10329218,2025-08-25,naver,NA_C02,SA,0,0,0,,,0
L20260113_207562,U10207562,2026-01-13,kakao,KA_C03,DA,1,1,1,P20260118_413744,2026-01-18,63478
L20251013_083340,U10083340,2025-10-13,google,GO_C03,DA,0,0,0,,,0
L20251201_392986,U10392986,2025-12-01,naver,NA_C05,SA,1,1,1,P20251226_724029,2025-12-26,54486
L20251002_450070,U10450070,2025-10-02,toss,TO_C06,DA,0,0,0,,,0
L20251106_150247,U10150247,2025-11-06,google,GO_C05,DA,0,0,0,,,0
L20251216_201377,U10201377,2025-12-16,kakao,KA_C02,DA,0,0,0,,,0
L20250808_429804,U10429804,2025-08-08,toss,TO_C03,DA,0,0,0,,,0
L20251121_203802,U10203802,2025-11-21,kakao,KA_C02,SA,1,0,0,,,0
L20251216_304214,U10304214,2025-12-16,naver,NA_C01,SA,0,0,0,,,0
L20250809_306919,U10306919,2025-08-09,naver,NA_C02,DA,0,0,0,,,0
L20251222_288134,U10288134,2025-12-22,meta,ME_C06,SA,1,1,1,P20251222_780341,2025-12-22,45146
L20250814_241590,U10241590,2025-08-14,meta,ME_C01,SA,1,1,1,P20250828_345700,2025-08-28,50391
L20251124_175796,U10175796,2025-11-24,google,GO_C06,DA,1,0,0,,,0
L20250920_035238,U10035238,2025-09-20,google,GO_C01,SA,0,0,0,,,0
L20250920_242837,U10242837,2025-09-20,meta,ME_C01,SA,1,1,1,P20251010_904747,2025-10-10,37377
L20250923_436158,U10436158,2025-09-23,toss,TO_C04,DA,1,1,1,P20250928_413685,2025-09-28,53587
L20251015_227967,U10227967,2025-10-15,kakao,KA_C06,DA,0,0,0,,,0
L20251102_442803,U10442803,2025-11-02,toss,TO_C05,DA,1,1,1,P20251115_278046,2025-11-15,59643
L20251223_113338,U10113338,2025-12-23,google,GO_C03,SA,0,0,0,,,0
L20260114_063073,U10063073,2026-01-14,google,GO_C02,DA,1,1,0,,,0
L20260123_028533,U10028533,2026-01-23,google,GO_C01,DA,0,0,0,,,0
L20250918_054459,U10054459,2025-09-18,google,GO_C02,DA,1,1,0,,,0
L20251119_238208,U10238208,2025-11-19,meta,ME_C01,DA,0,0,0,,,0
L20250907_454093,U10454093,2025-09-07,toss,TO_C06,SA,0,0,0,,,0
L20251126_337421,U10337421,2025-11-26,naver,NA_C02,SA,1,1,1,P20251226_849144,2025-12-26,50195
L20250813_199020,U10199020,2025-08-13,kakao,KA_C02,DA,0,0,0,,,0
L20251012_056116,U10056116,2025-10-12,google,GO_C02,DA,1,1,1,P20251026_596466,2025-10-26,53967
L20251020_390662,U10390662,2025-10-20,naver,NA_C05,SA,1,1,0,,,0
L20250903_202635,U10202635,2025-09-03,kakao,KA_C02,SA,0,0,0,,,0
L20250910_415309,U10415309,2025-09-10,toss,TO_C01,DA,0,0,0,,,0
L20260119_027899,U10027899,2026-01-19,google,GO_C01,DA,0,0,0,,,0
L20250824_003669,U10003669,2025-08-24,google,GO_C01,DA,1,1,1,P20250912_245981,2025-09-12,55916
L20250805_142365,U10142365,2025-08-05,google,GO_C05,DA,0,0,0,,,0
L20251212_112162,U10112162,2025-12-12,google,GO_C03,SA,1,1,0,,,0
L20260114_049486,U10049486,2026-01-14,google,GO_C01,SA,1,1,0,,,0
L20251111_203655,U10203655,2025-11-11,kakao,KA_C02,SA,0,0,0,,,0
L20251002_147154,U10147154,2025-10-02,google,GO_C05,DA,0,0,0,,,0
L20251117_151015,U10151015,2025-11-17,google,GO_C05,DA,1,0,0,,,0
L20250930_081666,U10081666,2025-09-30,google,GO_C03,DA,0,0,0,,,0
L20250919_398823,U10398823,2025-09-19,naver,NA_C06,DA,1,1,0,,,0
L20250905_208338,U10208338,2025-09-05,kakao,KA_C03,SA,0,0,0,,,0
L20260123_373716,U10373716,2026-01-23,naver,NA_C04,SA,0,0,0,,,0
L20260103_095126,U10095126,2026-01-03,google,GO_C03,DA,0,0,0,,,0
L20251125_089485,U10089485,2025-11-25,google,GO_C03,DA,0,0,0,,,0
L20251001_332304,U10332304,2025-10-01,naver,NA_C02,SA,1,0,0,,,0
L20251225_417800,U10417800,2025-12-25,toss,TO_C01,DA,0,0,0,,,0
L20251009_214973,U10214973,2025-10-09,kakao,KA_C04,SA,0,0,0,,,0
L20260114_274459,U10274459,2026-01-14,meta,ME_C05,DA,0,0,0,,,0
L20250925_291984,U10291984,2025-09-25,naver,NA_C01,DA,1,1,1,P20251008_272246,2025-10-08,57066
L20251213_139206,U10139206,2025-12-13,google,GO_C04,SA,1,0,0,,,0
L20251004_276049,U10276049,2025-10-04,meta,ME_C05,SA,0,0,0,,,0
L20250819_002887,U10002887,2025-08-19,google,GO_C01,DA,1,1,1,P20250820_117252,2025-08-20,53871
L20251117_455562,U10455562,2025-11-17,toss,TO_C06,SA,0,0,0,,,0
L20251222_245854,U10245854,2025-12-22,meta,ME_C01,SA,0,0,0,,,0
L20260118_049936,U10049936,2026-01-18,google,GO_C01,SA,1,1,0,,,0
L20250802_051207,U10051207,2025-08-02,google,GO_C02,DA,1,1,1,P20250821_219649,2025-08-21,56715
L20260127_327052,U10327052,2026-01-27,naver,NA_C02,DA,1,1,0,,,0
L20251231_323881,U10323881,2025-12-31,naver,NA_C02,DA,0,0,0,,,0
L20251104_149961,U10149961,2025-11-04,google,GO_C05,DA,0,0,0,,,0
L20260121_063647,U10063647,2026-01-21,google,GO_C02,DA,1,0,0,,,0
L20250907_211031,U10211031,2025-09-07,kakao,KA_C04,DA,1,0,0,,,0
L20250808_051612,U10051612,2025-08-08,google,GO_C02,DA,1,1,1,P20250817_337884,2025-08-17,60447
L20251003_010000,U10010000,2025-10-03,google,GO_C01,DA,1,0,0,,,0
L20251013_368244,U10368244,2025-10-13,naver,NA_C04,SA,0,0,0,,,0
L20251126_151801,U10151801,2025-11-26,google,GO_C05,DA,0,0,0,,,0
L20250920_054566,U10054566,2025-09-20,google,GO_C02,DA,1,1,1,P20250922_705311,2025-09-22,55859
L20260103_025300,U10025300,2026-01-03,google,GO_C01,DA,0,0,0,,,0
L20251213_212971,U10212971,2025-12-13,kakao,KA_C04,DA,1,1,0,,,0
L20251230_024656,U10024656,2025-12-30,google,GO_C01,DA,0,0,0,,,0
L20260111_351960,U10351960,2026-01-11,naver,NA_C03,SA,0,0,0,,,0
L20251226_047205,U10047205,2025-12-26,google,GO_C01,SA,1,1,1,P20260124_674403,2026-01-24,44203
L20251209_282740,U10282740,2025-12-09,meta,ME_C06,DA,0,0,0,,,0
L20251101_086193,U10086193,2025-11-01,google,GO_C03,DA,0,0,0,,,0
L20251229_225539,U10225539,2025-12-29,kakao,KA_C05,SA,0,0,0,,,0
L20251120_206646,U10206646,2025-11-20,kakao,KA_C03,DA,0,0,0,,,0
L20250816_418866,U10418866,2025-08-16,toss,TO_C01,SA,0,0,0,,,0
L20251023_215227,U10215227,2025-10-23,kakao,KA_C04,SA,0,0,0,,,0
L20251130_337773,U10337773,2025-11-30,naver,NA_C02,SA,0,0,0,,,0
L20250804_064284,U10064284,2025-08-04,google,GO_C02,SA,0,0,0,,,0
L20251002_182542,U10182542,2025-10-02,google,GO_C06,SA,0,0,0,,,0
L20251217_166156,U10166156,2025-12-17,google,GO_C05,SA,0,0,0,,,0
L20250912_310812,U10310812,2025-09-12,naver,NA_C02,DA,0,0,0,,,0
L20251011_314186,U10314186,2025-10-11,naver,NA_C02,DA,0,0,0,,,0
L20260116_413828,U10413828,2026-01-16,naver,NA_C06,SA,1,1,1,P20260201_468045,2026-02-01,54351
L20251114_215570,U10215570,2025-11-14,kakao,KA_C04,SA,1,0,0,,,0
L20250915_257250,U10257250,2025-09-15,meta,ME_C03,SA,1,1,1,P20251003_109186,2025-10-03,49805
L20251201_434507,U10434507,2025-12-01,toss,TO_C03,SA,1,1,1,P20251224_242548,2025-12-24,55714
L20251130_428546,U10428546,2025-11-30,toss,TO_C02,SA,1,1,1,P20251209_302660,2025-12-09,65752
L20251109_069440,U10069440,2025-11-09,google,GO_C02,SA,1,1,1,P20251127_857903,2025-11-27,48454
L20250910_160025,U10160025,2025-09-10,google,GO_C05,SA,0,0,0,,,0
L20251022_442533,U10442533,2025-10-22,toss,TO_C05,DA,1,0,0,,,0
L20251203_268690,U10268690,2025-12-03,meta,ME_C04,SA,0,0,0,,,0
L20260123_168646,U10168646,2026-01-23,google,GO_C05,SA,1,0,0,,,0
L20251226_154599,U10154599,2025-12-26,google,GO_C05,DA,0,0,0,,,0
L20250816_075851,U10075851,2025-08-16,google,GO_C03,DA,0,0,0,,,0
L20250926_243008,U10243008,2025-09-26,meta,ME_C01,SA,0,0,0,,,0
L20251125_319497,U10319497,2025-11-25,naver,NA_C02,DA,0,0,0,,,0
L20251116_392137,U10392137,2025-11-16,naver,NA_C05,SA,0,0,0,,,0
L20251211_176845,U10176845,2025-12-11,google,GO_C06,DA,0,0,0,,,0
L20250814_118047,U10118047,2025-08-14,google,GO_C04,DA,0,0,0,,,0
L20250926_214770,U10214770,2025-09-26,kakao,KA_C04,SA,1,1,1,P20251010_858400,2025-10-10,55155
L20251220_154115,U10154115,2025-12-20,google,GO_C05,DA,0,0,0,,,0
L20260101_198098,U10198098,2026-01-01,kakao,KA_C01,SA,1,0,0,,,0
L20251214_417522,U10417522,2025-12-14,toss,TO_C01,DA,0,0,0,,,0
L20250901_077912,U10077912,2025-09-01,google,GO_C03,DA,1,1,1,P20250921_970694,2025-09-21,64839
L20260126_440599,U10440599,2026-01-26,toss,TO_C04,SA,1,1,1,P20260202_398692,2026-02-02,56682
L20260126_098485,U10098485,2026-01-26,google,GO_C03,DA,1,1,1,P20260128_371799,2026-01-28,45772
L20251102_086261,U10086261,2025-11-02,google,GO_C03,DA,0,0,0,,,0
L20250908_053784,U10053784,2025-09-08,google,GO_C02,DA,0,0,0,,,0
L20251124_191571,U10191571,2025-11-24,kakao,KA_C01,DA,0,0,0,,,0
L20251027_212050,U10212050,2025-10-27,kakao,KA_C04,DA,1,0,0,,,0
L20260122_063724,U10063724,2026-01-22,google,GO_C02,DA,1,1,0,,,0
L20251217_185926,U10185926,2025-12-17,google,GO_C06,SA,0,0,0,,,0
L20251130_185216,U10185216,2025-11-30,google,GO_C06,SA,1,1,0,,,0
L20251026_293713,U10293713,2025-10-26,naver,NA_C01,DA,0,0,0,,,0
L20251120_336921,U10336921,2025-11-20,naver,NA_C02,SA,1,1,1,P20251215_639606,2025-12-15,52684
L20251209_403339,U10403339,2025-12-09,naver,NA_C06,DA,0,0,0,,,0
L20250924_172153,U10172153,2025-09-24,google,GO_C06,DA,0,0,0,,,0
L20250922_008176,U10008176,2025-09-22,google,GO_C01,DA,0,0,0,,,0
L20251118_042220,U10042220,2025-11-18,google,GO_C01,SA,0,0,0,,,0
L20251012_390259,U10390259,2025-10-12,naver,NA_C05,SA,0,0,0,,,0
L20250828_119209,U10119209,2025-08-28,google,GO_C04,DA,1,0,0,,,0
L20251204_393143,U10393143,2025-12-04,naver,NA_C05,SA,0,0,0,,,0
L20250911_438769,U10438769,2025-09-11,toss,TO_C04,SA,0,0,0,,,0
L20250826_329252,U10329252,2025-08-26,naver,NA_C02,SA,0,0,0,,,0
L20251209_371240,U10371240,2025-12-09,naver,NA_C04,SA,0,0,0,,,0
L20250912_449536,U10449536,2025-09-12,toss,TO_C06,DA,0,0,0,,,0
L20251127_424812,U10424812,2025-11-27,toss,TO_C02,DA,0,0,0,,,0
L20251127_402709,U10402709,2025-11-27,naver,NA_C06,DA,1,1,1,P20251204_460140,2025-12-04,60172
L20251129_090083,U10090083,2025-11-29,google,GO_C03,DA,0,0,0,,,0
L20250805_289316,U10289316,2025-08-05,naver,NA_C01,DA,1,0,0,,,0
L20251222_362040,U10362040,2025-12-22,naver,NA_C04,DA,0,0,0,,,0
L20250815_064852,U10064852,2025-08-15,google,GO_C02,SA,0,0,0,,,0
L20251206_224947,U10224947,2025-12-06,kakao,KA_C05,SA,1,0,0,,,0
L20250918_181950,U10181950,2025-09-18,google,GO_C06,SA,1,1,1,P20250920_876004,2025-09-20,56161
L20260126_179773,U10179773,2026-01-26,google,GO_C06,DA,0,0,0,,,0
L20251009_390103,U10390103,2025-10-09,naver,NA_C05,SA,1,1,1,P20251022_672954,2025-10-22,42938
L20251101_183980,U10183980,2025-11-01,google,GO_C06,SA,0,0,0,,,0
L20250818_328553,U10328553,2025-08-18,naver,NA_C02,SA,1,0,0,,,0
L20251107_015678,U10015678,2025-11-07,google,GO_C01,DA,1,0,0,,,0
L20250818_441008,U10441008,2025-08-18,toss,TO_C05,DA,0,0,0,,,0
L20251010_368089,U10368089,2025-10-10,naver,NA_C04,SA,1,1,1,P20251028_631735,2025-10-28,54506
L20251021_173800,U10173800,2025-10-21,google,GO_C06,DA,0,0,0,,,0
L20251116_125466,U10125466,2025-11-16,google,GO_C04,DA,0,0,0,,,0
L20251125_043093,U10043093,2025-11-25,google,GO_C01,SA,0,0,0,,,0
L20251126_043309,U10043309,2025-11-26,google,GO_C01,SA,1,1,0,,,0
L20250810_365015,U10365015,2025-08-10,naver,NA_C04,SA,1,1,1,P20250826_754989,2025-08-26,48964
L20250917_120729,U10120729,2025-09-17,google,GO_C04,DA,0,0,0,,,0
L20250924_008422,U10008422,2025-09-24,google,GO_C01,DA,0,0,0,,,0
L20251208_091307,U10091307,2025-12-08,google,GO_C03,DA,0,0,0,,,0
L20251223_273900,U10273900,2025-12-23,meta,ME_C05,DA,0,0,0,,,0
L20251201_138498,U10138498,2025-12-01,google,GO_C04,SA,1,1,0,,,0
L20251125_018536,U10018536,2025-11-25,google,GO_C01,DA,0,0,0,,,0
L20260127_029247,U10029247,2026-01-27,google,GO_C01,DA,1,1,1,P20260206_308908,2026-02-06,58013
L20251106_212249,U10212249,2025-11-06,kakao,KA_C04,DA,1,0,0,,,0
L20260126_157447,U10157447,2026-01-26,google,GO_C05,DA,1,1,1,P20260130_681635,2026-01-30,50922
L20260120_284115,U10284115,2026-01-20,meta,ME_C06,DA,0,0,0,,,0
