date,channel,campaign_id,message_type,spend,leads,tm_attempts,tm_connected,contracts,premium
2025-10-30,google,G1,Long,2.46,0,1,0,0,0.0
2025-10-30,google,G2,Short,26.51,10,9,4,1,1022.77
2025-10-30,google,G2,Long,6.12,3,4,1,0,0.0
2025-10-31,google,G1,Short,16.2,9,5,0,0,0.0
2025-10-31,google,G1,Long,7.48,3,3,2,1,457.82
2025-10-31,google,G2,Short,6.78,1,2,0,0,0.0
2025-10-31,google,G2,Long,12.98,4,2,1,0,0.0
2025-11-01,google,G1,Short,15.75,8,6,3,1,1658.93
2025-11-01,google,G1,Long,9.31,5,4,1,1,1658.93
2025-11-01,google,G2,Short,11.76,7,4,1,1,1658.93
2025-11-01,google,G2,Long,1.99,0,1,0,0,0.0
2025-11-02,google,G1,Short,2.15,1,1,0,0,0.0
2025-11-02,google,G1,Long,16.08,8,7,1,1,3190.6
2025-11-02,google,G2,Short,3.51,1,1,1,0,0.0
2025-11-02,google,G2,Long,4.1,2,0,0,0,0.0
2025-11-03,google,G1,Short,2.37,1,0,0,0,0.0
2025-11-03,google,G1,Long,6.61,2,0,0,0,0.0
2025-11-03,google,G2,Short,10.13,4,4,0,0,0.0
2025-11-03,google,G2,Long,14.29,5,3,1,0,0.0
2025-11-04,google,G1,Short,4.8,0,2,0,0,0.0
2025-11-04,google,G1,Long,25.14,18,7,3,0,0.0
2025-11-04,google,G2,Short,5.74,0,2,0,0,0.0
2025-11-04,google,G2,Long,2.22,1,2,2,0,0.0
2025-11-05,google,G1,Short,13.87,5,5,4,0,0.0
2025-11-05,google,G1,Long,3.45,0,0,0,0,0.0
2025-11-05,google,G2,Short,13.75,3,3,2,0,0.0
2025-11-05,google,G2,Long,11.51,4,1,0,0,0.0
2025-11-06,google,G1,Short,21.07,9,5,2,0,0.0
2025-11-06,google,G1,Long,9.88,3,3,1,1,2945.71
2025-11-06,google,G2,Short,4.65,1,1,0,0,0.0
2025-11-06,google,G2,Long,10.79,4,3,1,1,2945.71
2025-11-07,google,G1,Short,17.23,7,2,1,1,3340.55
2025-11-07,google,G1,Long,8.65,4,4,2,0,0.0
2025-11-07,google,G2,Short,8.59,4,2,0,0,0.0
2025-11-07,google,G2,Long,14.95,1,3,1,0,0.0
2025-11-08,google,G1,Short,20.66,11,7,0,0,0.0
2025-11-08,google,G1,Long,8.54,3,2,2,0,0.0
2025-11-08,google,G2,Short,3.46,1,0,0,0,0.0
2025-11-08,google,G2,Long,6.02,1,2,1,0,0.0
2025-11-09,google,G1,Short,6.55,3,2,2,0,0.0
2025-11-09,google,G1,Long,7.14,2,1,1,1,3019.29
2025-11-09,google,G2,Short,3.23,4,3,1,0,0.0
2025-11-09,google,G2,Long,9.08,2,4,0,0,0.0
2025-11-10,google,G1,Short,3.51,1,1,1,0,0.0
2025-11-10,google,G1,Long,2.28,3,1,0,0,0.0
2025-11-10,google,G2,Short,16.09,7,5,2,0,0.0
2025-11-10,google,G2,Long,15.09,5,5,2,0,0.0
2025-11-11,google,G1,Short,19.29,14,12,3,1,586.81
2025-11-11,google,G1,Long,3.92,1,1,1,0,0.0
2025-11-11,google,G2,Short,11.88,7,5,2,0,0.0
2025-11-11,google,G2,Long,4.74,2,1,0,0,0.0
2025-11-12,google,G1,Short,12.1,4,5,0,0,0.0
2025-11-12,google,G1,Long,6.29,4,2,2,0,0.0
2025-11-12,google,G2,Short,12.6,4,5,2,0,0.0
2025-11-12,google,G2,Long,14.09,9,6,3,1,1029.15
2025-11-13,google,G1,Short,9.27,3,2,2,0,0.0
2025-11-13,google,G1,Long,12.63,3,1,1,0,0.0
2025-11-13,google,G2,Short,15.26,4,5,0,0,0.0
2025-11-13,google,G2,Long,8.2,2,1,0,0,0.0
2025-11-14,google,G1,Short,9.02,4,4,0,0,0.0
2025-11-14,google,G1,Long,9.25,4,5,2,0,0.0
2025-11-14,google,G2,Short,8.78,2,2,1,1,1380.05
2025-11-14,google,G2,Long,16.16,7,2,2,0,0.0
2025-11-15,google,G1,Short,6.65,2,0,0,0,0.0
2025-11-15,google,G1,Long,5.35,2,1,0,0,0.0
2025-11-15,google,G2,Short,5.78,3,6,1,0,0.0
2025-11-15,google,G2,Long,16.84,7,5,4,0,0.0
2025-11-16,google,G1,Short,3.66,1,1,0,0,0.0
2025-11-16,google,G1,Long,9.54,6,6,2,1,2951.83
2025-11-16,google,G2,Short,4.78,3,4,1,0,0.0
2025-11-16,google,G2,Long,6.74,7,4,2,0,0.0
2025-11-17,google,G1,Short,4.18,3,1,1,0,0.0
2025-11-17,google,G1,Long,7.43,0,2,0,0,0.0
2025-11-17,google,G2,Short,3.23,0,1,0,0,0.0
2025-11-17,google,G2,Long,19.27,5,2,1,0,0.0
2025-11-18,google,G1,Short,3.3,0,1,0,0,0.0
2025-11-18,google,G1,Long,9.25,1,1,0,0,0.0
2025-11-18,google,G2,Short,12.83,4,4,4,1,563.49
2025-11-18,google,G2,Long,11.82,6,3,2,0,0.0
2025-11-19,google,G1,Short,21.92,12,14,3,0,0.0
2025-11-19,google,G1,Long,8.49,5,2,2,0,0.0
2025-11-19,google,G2,Short,4.32,6,1,0,0,0.0
2025-11-19,google,G2,Long,2.95,0,0,0,0,0.0
2025-11-20,google,G1,Short,20.78,7,3,0,0,0.0
2025-11-20,google,G1,Long,1.26,0,0,0,0,0.0
2025-11-20,google,G2,Short,11.75,3,2,1,0,0.0
2025-11-20,google,G2,Long,6.96,0,1,1,0,0.0
2025-11-21,google,G1,Short,9.91,4,3,1,0,0.0
2025-11-21,google,G1,Long,8.62,4,3,1,0,0.0
2025-11-21,google,G2,Short,10.17,4,3,0,0,0.0
2025-11-21,google,G2,Long,18.05,4,5,2,1,367.14
2025-11-22,google,G1,Short,5.32,5,1,1,0,0.0
2025-11-22,google,G1,Long,16.77,6,13,3,0,0.0
2025-11-22,google,G2,Short,5.11,5,4,2,0,0.0
2025-11-22,google,G2,Long,6.15,6,0,0,0,0.0
2025-11-23,google,G1,Short,4.43,1,2,2,0,0.0
2025-11-23,google,G1,Long,11.41,8,6,3,0,0.0
2025-11-23,google,G2,Short,3.3,1,1,1,0,0.0
2025-11-23,google,G2,Long,11.13,6,5,0,0,0.0
2025-11-24,google,G1,Short,10.94,2,2,0,0,0.0
2025-11-24,google,G1,Long,11.73,5,3,0,0,0.0
2025-11-24,google,G2,Short,3.71,0,1,1,1,2268.7
2025-11-24,google,G2,Long,7.54,4,3,0,0,0.0
2025-11-25,google,G1,Short,4.93,3,3,0,0,0.0
2025-11-25,google,G1,Long,24.99,10,7,2,1,1356.48
2025-11-25,google,G2,Short,4.3,4,4,0,0,0.0
2025-11-25,google,G2,Long,7.01,2,1,1,0,0.0
2025-11-26,google,G1,Short,1.93,0,1,0,0,0.0
2025-11-26,google,G1,Long,14.53,4,6,3,0,0.0
2025-11-26,google,G2,Short,15.34,7,4,0,0,0.0
2025-11-26,google,G2,Long,11.81,7,5,3,0,0.0
2025-11-27,google,G1,Short,14.72,4,5,0,0,0.0
2025-11-27,google,G1,Long,9.22,3,5,1,0,0.0
2025-11-27,google,G2,Short,7.02,2,2,0,0,0.0
2025-11-27,google,G2,Long,9.46,6,2,2,0,0.0
2025-11-28,google,G1,Short,13.43,4,8,2,1,3533.53
2025-11-28,google,G1,Long,8.07,4,3,0,0,0.0
2025-11-28,google,G2,Short,12.67,6,6,5,0,0.0
2025-11-28,google,G2,Long,8.94,5,0,0,0,0.0
2025-11-29,google,G1,Short,4.88,1,0,0,0,0.0
2025-11-29,google,G1,Long,10.94,4,6,3,1,1955.62
2025-11-29,google,G2,Short,17.41,8,3,1,0,0.0
2025-11-29,google,G2,Long,1.26,0,1,0,0,0.0
2025-11-30,google,G1,Short,2.46,1,1,0,0,0.0
2025-11-30,google,G1,Long,2.93,0,1,0,0,0.0
2025-11-30,google,G2,Short,20.37,5,5,3,0,0.0
2025-11-30,google,G2,Long,6.1,3,3,1,1,825.52
2025-12-01,google,G1,Short,5.05,1,4,0,0,0.0
2025-12-01,google,G1,Long,19.5,15,9,3,2,3018.82
2025-12-01,google,G2,Short,3.73,1,0,0,0,0.0
2025-12-01,google,G2,Long,7.98,2,3,1,0,0.0
2025-12-02,google,G1,Short,23.46,6,1,1,1,1501.69
2025-12-02,google,G1,Long,13.2,4,5,1,1,1501.69
2025-12-02,google,G2,Short,8.89,3,5,2,1,1501.69
2025-12-02,google,G2,Long,2.59,1,1,0,0,0.0
2025-12-03,google,G1,Short,23.16,9,5,2,0,0.0
2025-12-03,google,G1,Long,5.67,0,2,1,1,588.27
2025-12-03,google,G2,Short,10.58,1,3,0,0,0.0
2025-12-03,google,G2,Long,5.7,3,1,1,0,0.0
2025-12-04,google,G1,Short,15.66,4,4,2,0,0.0
2025-12-04,google,G1,Long,12.56,7,6,0,0,0.0
2025-12-04,google,G2,Short,9.55,3,1,1,1,1137.11
2025-12-04,google,G2,Long,11.32,1,1,1,0,0.0
2025-12-05,google,G1,Short,18.58,9,3,1,1,1469.87
2025-12-05,google,G1,Long,11.47,3,3,2,0,0.0
2025-12-05,google,G2,Short,14.12,1,2,0,0,0.0
2025-12-05,google,G2,Long,7.06,1,2,0,0,0.0
2025-12-06,google,G1,Short,22.8,7,9,4,1,1081.5
2025-12-06,google,G1,Long,10.71,7,5,3,0,0.0
2025-12-06,google,G2,Short,4.8,2,1,1,0,0.0
2025-12-06,google,G2,Long,3.62,3,2,0,0,0.0
2025-12-07,google,G1,Short,5.78,3,7,3,0,0.0
2025-12-07,google,G1,Long,16.3,13,8,2,0,0.0
2025-12-07,google,G2,Short,1.2,0,2,1,1,794.64
2025-12-07,google,G2,Long,4.52,2,3,0,0,0.0
2025-12-08,google,G1,Short,10.74,4,4,0,0,0.0
2025-12-08,google,G1,Long,4.94,1,2,2,0,0.0
2025-12-08,google,G2,Short,1.95,0,1,0,0,0.0
2025-12-08,google,G2,Long,14.71,9,3,2,0,0.0
2025-12-09,google,G1,Short,5.56,1,1,0,0,0.0
2025-12-09,google,G1,Long,22.21,5,5,2,1,3732.13
2025-12-09,google,G2,Short,1.17,0,0,0,0,0.0
2025-12-09,google,G2,Long,7.79,4,2,0,0,0.0
2025-12-10,google,G1,Short,8.16,3,2,0,0,0.0
2025-12-10,google,G1,Long,28.45,7,5,4,0,0.0
2025-12-10,google,G2,Short,8.04,1,0,0,0,0.0
2025-12-10,google,G2,Long,2.92,0,1,0,0,0.0
2025-12-11,google,G1,Short,19.99,14,6,3,0,0.0
2025-12-11,google,G1,Long,6.63,1,3,0,0,0.0
2025-12-11,google,G2,Short,17.41,7,8,2,0,0.0
2025-12-11,google,G2,Long,3.02,1,0,0,0,0.0
2025-12-12,google,G1,Short,14.63,4,7,1,0,0.0
2025-12-12,google,G1,Long,18.97,8,7,4,1,1419.51
2025-12-12,google,G2,Short,7.78,6,2,1,0,0.0
2025-12-12,google,G2,Long,6.44,1,2,0,0,0.0
2025-12-13,google,G1,Short,26.41,8,7,3,2,2127.08
2025-12-13,google,G1,Long,5.73,4,1,0,0,0.0
2025-12-13,google,G2,Short,0.94,0,0,0,0,0.0
2025-12-13,google,G2,Long,8.74,4,3,0,0,0.0
2025-12-14,google,G1,Short,16.28,11,9,1,1,1002.3
2025-12-14,google,G1,Long,2.38,2,0,0,0,0.0
2025-12-14,google,G2,Short,10.45,8,6,2,1,1002.3
2025-12-14,google,G2,Long,1.72,0,1,1,0,0.0
2025-12-15,google,G1,Short,13.39,3,1,0,0,0.0
2025-12-15,google,G1,Long,6.93,2,4,0,0,0.0
2025-12-15,google,G2,Short,13.26,5,2,2,0,0.0
2025-12-15,google,G2,Long,13.39,5,2,0,0,0.0
2025-12-16,google,G1,Short,4.49,7,5,1,0,0.0
2025-12-16,google,G1,Long,24.08,9,9,5,0,0.0
2025-12-16,google,G2,Short,8.02,5,2,0,0,0.0
2025-12-16,google,G2,Long,7.78,3,2,0,0,0.0
2025-12-17,google,G1,Short,16.76,5,1,0,0,0.0
2025-12-17,google,G1,Long,8.95,0,1,0,0,0.0
2025-12-17,google,G2,Short,11.08,2,0,0,0,0.0
2025-12-17,google,G2,Long,6.48,1,1,0,0,0.0
2025-12-18,google,G1,Short,3.52,1,1,1,0,0.0
2025-12-18,google,G1,Long,10.67,7,4,3,0,0.0
2025-12-18,google,G2,Short,6.72,5,5,0,0,0.0
2025-12-18,google,G2,Long,16.75,8,8,3,0,0.0
2025-12-19,google,G1,Short,3.65,0,3,0,0,0.0
2025-12-19,google,G1,Long,4.81,3,4,1,0,0.0
2025-12-19,google,G2,Short,37.51,15,12,5,0,0.0
2025-12-19,google,G2,Long,2.97,1,2,1,0,0.0
2025-12-20,google,G1,Short,12.09,10,4,1,0,0.0
2025-12-20,google,G1,Long,8.89,2,1,0,0,0.0
2025-12-20,google,G2,Short,3.69,0,3,0,0,0.0
2025-12-20,google,G2,Long,12.19,4,4,2,0,0.0
2025-12-21,google,G1,Short,2.84,2,1,1,0,0.0
2025-12-21,google,G1,Long,4.09,1,0,0,0,0.0
2025-12-21,google,G2,Short,16.63,8,4,2,1,2254.42
2025-12-21,google,G2,Long,6.57,2,2,0,0,0.0
2025-12-22,google,G1,Short,6.93,4,3,1,0,0.0
2025-12-22,google,G1,Long,10.06,3,3,0,0,0.0
2025-12-22,google,G2,Short,8.11,2,3,0,0,0.0
2025-12-22,google,G2,Long,9.8,5,4,2,1,793.23
2025-12-23,google,G1,Short,12.98,1,3,1,0,0.0
2025-12-23,google,G1,Long,18.38,9,3,1,1,707.32
2025-12-23,google,G2,Short,7.92,0,0,0,0,0.0
2025-12-23,google,G2,Long,5.42,0,1,1,0,0.0
2025-12-24,google,G1,Short,12.36,4,4,2,1,633.38
2025-12-24,google,G1,Long,6.84,0,3,0,0,0.0
2025-12-24,google,G2,Short,24.72,11,7,3,0,0.0
2025-12-24,google,G2,Long,2.63,0,1,0,0,0.0
2025-12-25,google,G1,Short,17.48,12,3,2,0,0.0
2025-12-25,google,G1,Long,13.49,1,4,3,1,1641.05
2025-12-25,google,G2,Short,7.31,1,2,0,0,0.0
2025-12-25,google,G2,Long,6.6,1,2,0,0,0.0
2025-12-26,google,G1,Short,7.36,4,3,1,0,0.0
2025-12-26,google,G1,Long,26.3,9,5,3,0,0.0
2025-12-26,google,G2,Short,6.02,2,2,1,0,0.0
2025-12-26,google,G2,Long,4.69,2,2,0,0,0.0
2025-12-27,google,G1,Short,17.46,8,9,3,0,0.0
2025-12-27,google,G1,Long,1.13,0,0,0,0,0.0
2025-12-27,google,G2,Short,9.54,3,3,0,0,0.0
2025-12-27,google,G2,Long,7.45,7,2,1,1,685.82
2025-12-28,google,G1,Short,11.6,8,10,4,0,0.0
2025-12-28,google,G1,Long,3.7,4,2,1,1,1361.35
2025-12-28,google,G2,Short,3.04,2,1,0,0,0.0
2025-12-28,google,G2,Long,11.99,11,9,2,0,0.0
2025-12-29,google,G1,Short,2.06,2,1,0,0,0.0
2025-12-29,google,G1,Long,2.21,0,0,0,0,0.0
2025-12-29,google,G2,Short,8.74,3,1,1,0,0.0
2025-12-29,google,G2,Long,21.91,5,6,2,0,0.0
2025-12-30,google,G1,Short,7.97,4,3,0,0,0.0
2025-12-30,google,G1,Long,3.08,1,0,0,0,0.0
2025-12-30,google,G2,Short,4.06,1,0,0,0,0.0
2025-12-30,google,G2,Long,28.44,13,11,3,1,884.32
2025-12-31,google,G1,Short,3.95,3,2,0,0,0.0
2025-12-31,google,G1,Long,14.71,4,4,0,0,0.0
2025-12-31,google,G2,Short,14.94,2,5,3,1,2330.6
2025-12-31,google,G2,Long,13.18,6,1,1,1,2330.6
2026-01-01,google,G1,Short,16.5,3,2,2,0,0.0
2026-01-01,google,G1,Long,5.75,2,2,1,0,0.0
2026-01-01,google,G2,Short,14.58,5,2,0,0,0.0
2026-01-01,google,G2,Long,16.99,7,5,1,0,0.0
2026-01-02,google,G1,Short,20.21,5,9,1,1,1036.59
2026-01-02,google,G1,Long,17.33,6,3,1,0,0.0
2026-01-02,google,G2,Short,5.7,2,2,0,0,0.0
2026-01-02,google,G2,Long,9.75,3,0,0,0,0.0
2026-01-03,google,G1,Short,4.73,2,3,0,0,0.0
2026-01-03,google,G1,Long,21.34,8,5,3,0,0.0
2026-01-03,google,G2,Short,9.44,5,1,1,1,1004.02
2026-01-03,google,G2,Long,8.17,2,1,0,0,0.0
2026-01-04,google,G1,Short,6.35,5,1,1,0,0.0
2026-01-04,google,G1,Long,9.85,2,5,0,0,0.0
2026-01-04,google,G2,Short,11.19,6,5,2,0,0.0
2026-01-04,google,G2,Long,6.65,4,2,2,0,0.0
2026-01-05,google,G1,Short,4.26,3,2,1,1,550.5
2026-01-05,google,G1,Long,31.23,10,10,6,0,0.0
2026-01-05,google,G2,Short,0.58,0,0,0,0,0.0
2026-01-05,google,G2,Long,9.73,6,5,0,0,0.0
2026-01-06,google,G1,Short,9.25,5,6,3,0,0.0
2026-01-06,google,G1,Long,12.82,5,4,1,0,0.0
2026-01-06,google,G2,Short,15.71,9,5,0,0,0.0
2026-01-06,google,G2,Long,11.54,4,4,2,0,0.0
2026-01-07,google,G1,Short,3.17,2,3,0,0,0.0
2026-01-07,google,G1,Long,31.01,12,7,4,0,0.0
2026-01-07,google,G2,Short,3.62,1,2,0,0,0.0
2026-01-07,google,G2,Long,19.26,5,5,2,0,0.0
2026-01-08,google,G1,Short,26.99,10,8,0,0,0.0
2026-01-08,google,G1,Long,4.47,1,0,0,0,0.0
2026-01-08,google,G2,Short,8.11,2,3,1,0,0.0
2026-01-08,google,G2,Long,16.85,5,3,1,1,1022.97
2026-01-09,google,G1,Short,10.93,2,2,1,1,1456.88
2026-01-09,google,G1,Long,15.66,3,5,2,1,1456.88
2026-01-09,google,G2,Short,15.52,5,1,1,0,0.0
2026-01-09,google,G2,Long,18.89,4,6,0,0,0.0
2026-01-10,google,G1,Short,6.05,3,0,0,0,0.0
2026-01-10,google,G1,Long,4.45,2,5,0,0,0.0
2026-01-10,google,G2,Short,7.7,5,3,3,0,0.0
2026-01-10,google,G2,Long,22.46,13,12,4,0,0.0
2026-01-11,google,G1,Short,2.37,1,0,0,0,0.0
2026-01-11,google,G1,Long,8.17,6,4,4,0,0.0
2026-01-11,google,G2,Short,4.96,3,1,0,0,0.0
2026-01-11,google,G2,Long,15.13,11,13,2,0,0.0
2026-01-12,google,G1,Short,7.94,2,4,3,0,0.0
2026-01-12,google,G1,Long,4.8,1,0,0,0,0.0
2026-01-12,google,G2,Short,14.72,3,5,1,0,0.0
2026-01-12,google,G2,Long,18.78,8,4,1,1,952.99
2026-01-13,google,G1,Short,11.37,3,3,1,1,1920.58
2026-01-13,google,G1,Long,9.11,0,3,1,1,1920.58
2026-01-13,google,G2,Short,11.18,3,3,2,0,0.0
2026-01-13,google,G2,Long,14.46,7,3,1,0,0.0
2026-01-14,google,G1,Short,18.02,5,3,0,0,0.0
2026-01-14,google,G1,Long,22.0,5,6,1,0,0.0
2026-01-14,google,G2,Short,7.5,1,0,0,0,0.0
2026-01-14,google,G2,Long,3.12,1,0,0,0,0.0
2026-01-15,google,G1,Short,33.62,9,5,3,1,963.46
2026-01-15,google,G1,Long,4.18,1,1,0,0,0.0
2026-01-15,google,G2,Short,8.1,1,2,0,0,0.0
2026-01-15,google,G2,Long,5.08,2,0,0,0,0.0
2026-01-16,google,G1,Short,13.35,2,5,0,0,0.0
2026-01-16,google,G1,Long,10.49,2,1,0,0,0.0
2026-01-16,google,G2,Short,13.35,3,1,1,0,0.0
2026-01-16,google,G2,Long,20.61,7,5,3,0,0.0
2026-01-17,google,G1,Short,0.85,1,1,0,0,0.0
2026-01-17,google,G1,Long,4.83,1,0,0,0,0.0
2026-01-17,google,G2,Short,11.56,9,6,2,0,0.0
2026-01-17,google,G2,Long,19.53,10,11,4,0,0.0
2026-01-18,google,G1,Short,9.63,7,4,4,0,0.0
2026-01-18,google,G1,Long,5.26,4,2,1,1,533.22
2026-01-18,google,G2,Short,13.05,5,10,1,0,0.0
2026-01-18,google,G2,Long,6.61,3,1,1,0,0.0
2026-01-19,google,G1,Short,12.71,8,2,1,0,0.0
2026-01-19,google,G1,Long,14.92,5,5,3,0,0.0
2026-01-19,google,G2,Short,6.61,1,1,0,0,0.0
2026-01-19,google,G2,Long,12.15,4,5,1,1,837.91
2026-01-20,google,G1,Short,10.05,3,0,0,0,0.0
2026-01-20,google,G1,Long,6.07,1,4,0,0,0.0
2026-01-20,google,G2,Short,17.13,6,6,1,1,1865.6
