lead_id,occurred_at,channel
Search_2025-01-02 00:00:00_l31,2025-01-02,Search
Search_2025-01-02 00:00:00_l32,2025-01-02,Search
Social_2025-01-02 00:00:00_l0,2025-01-02,Social
Social_2025-01-02 00:00:00_l1,2025-01-02,Social
Social_2025-01-02 00:00:00_l2,2025-01-02,Social
Social_2025-01-02 00:00:00_l3,2025-01-02,Social
Social_2025-01-02 00:00:00_l4,2025-01-02,Social
Social_2025-01-02 00:00:00_l5,2025-01-02,Social
Social_2025-01-02 00:00:00_l6,2025-01-02,Social
Social_2025-01-02 00:00:00_l7,2025-01-02,Social
Social_2025-01-02 00:00:00_l8,2025-01-02,Social
Social_2025-01-02 00:00:00_l9,2025-01-02,Social
Social_2025-01-02 00:00:00_l10,2025-01-02,Social
Social_2025-01-02 00:00:00_l11,2025-01-02,Social
Social_2025-01-02 00:00:00_l12,2025-01-02,Social
Social_2025-01-02 00:00:00_l13,2025-01-02,Social
Social_2025-01-02 00:00:00_l14,2025-01-02,Social
Social_2025-01-02 00:00:00_l15,2025-01-02,Social
Social_2025-01-02 00:00:00_l16,2025-01-02,Social
Social_2025-01-02 00:00:00_l17,2025-01-02,Social
Social_2025-01-02 00:00:00_l18,2025-01-02,Social
Social_2025-01-02 00:00:00_l19,2025-01-02,Social
Social_2025-01-02 00:00:00_l20,2025-01-02,Social
Social_2025-01-02 00:00:00_l21,2025-01-02,Social
Social_2025-01-02 00:00:00_l22,2025-01-02,Social
Social_2025-01-02 00:00:00_l23,2025-01-02,Social
Social_2025-01-02 00:00:00_l24,2025-01-02,Social
Social_2025-01-02 00:00:00_l25,2025-01-02,Social
Social_2025-01-02 00:00:00_l26,2025-01-02,Social
Social_2025-01-02 00:00:00_l27,2025-01-02,Social
Social_2025-01-02 00:00:00_l28,2025-01-02,Social
Search_2025-01-03 00:00:00_l0,2025-01-03,Search
Search_2025-01-03 00:00:00_l1,2025-01-03,Search
Search_2025-01-03 00:00:00_l2,2025-01-03,Search
Search_2025-01-03 00:00:00_l3,2025-01-03,Search
Search_2025-01-03 00:00:00_l4,2025-01-03,Search
Search_2025-01-03 00:00:00_l5,2025-01-03,Search
Search_2025-01-03 00:00:00_l6,2025-01-03,Search
Search_2025-01-03 00:00:00_l7,2025-01-03,Search
Search_2025-01-03 00:00:00_l8,2025-01-03,Search
Search_2025-01-03 00:00:00_l9,2025-01-03,Search
Search_2025-01-03 00:00:00_l10,2025-01-03,Search
Search_2025-01-03 00:00:00_l11,2025-01-03,Search
Social_2025-01-03 00:00:00_l0,2025-01-03,Social
Social_2025-01-03 00:00:00_l1,2025-01-03,Social
Social_2025-01-03 00:00:00_l2,2025-01-03,Social
Social_2025-01-03 00:00:00_l3,2025-01-03,Social
Social_2025-01-03 00:00:00_l4,2025-01-03,Social
Social_2025-01-03 00:00:00_l5,2025-01-03,Social
Social_2025-01-03 00:00:00_l6,2025-01-03,Social
Social_2025-01-03 00:00:00_l7,2025-01-03,Social
Social_2025-01-03 00:00:00_l8,2025-01-03,Social
Social_2025-01-03 00:00:00_l9,2025-01-03,Social
Social_2025-01-03 00:00:00_l10,2025-01-03,Social
Social_2025-01-03 00:00:00_l11,2025-01-03,Social
Social_2025-01-03 00:00:00_l12,2025-01-03,Social
Social_2025-01-03 00:00:00_l13,2025-01-03,Social
Social_2025-01-03 00:00:00_l14,2025-01-03,Social
Social_2025-01-03 00:00:00_l15,2025-01-03,Social
Social_2025-01-03 00:00:00_l16,2025-01-03,Social
Social_2025-01-03 00:00:00_l17,2025-01-03,Social
Social_2025-01-03 00:00:00_l18,2025-01-03,Social
Social_2025-01-03 00:00:00_l19,2025-01-03,Social
Social_2025-01-03 00:00:00_l20,2025-01-03,Social
Social_2025-01-03 00:00:00_l21,2025-01-03,Social
Social_2025-01-03 00:00:00_l22,2025-01-03,Social
Social_2025-01-03 00:00:00_l23,2025-01-03,Social
Social_2025-01-03 00:00:00_l24,2025-01-03,Social
Social_2025-01-03 00:00:00_l25,2025-01-03,Social
Social_2025-01-03 00:00:00_l26,2025-01-03,Social
Search_2025-01-04 00:00:00_l0,2025-01-04,Search
Search_2025-01-04 00:00:00_l1,2025-01-04,Search
Search_2025-01-04 00:00:00_l2,2025-01-04,Search
Search_2025-01-04 00:00:00_l3,2025-01-04,Search
Search_2025-01-04 00:00:00_l4,2025-01-04,Search
Search_2025-01-04 00:00:00_l5,2025-01-04,Search
Search_2025-01-04 00:00:00_l6,2025-01-04,Search
Search_2025-01-04 00:00:00_l7,2025-01-04,Search
Search_2025-01-04 00:00:00_l8,2025-01-04,Search
Search_2025-01-04 00:00:00_l9,2025-01-04,Search
Search_2025-01-04 00:00:00_l10,2025-01-04,Search
Search_2025-01-04 00:00:00_l11,2025-01-04,Search
Search_2025-01-04 00:00:00_l12,2025-01-04,Search
Search_2025-01-04 00:00:00_l13,2025-01-04,Search
Search_2025-01-04 00:00:00_l14,2025-01-04,Search
Search_2025-01-04 00:00:00_l15,2025-01-04,Search
Search_2025-01-04 00:00:00_l16,2025-01-04,Search
Search_2025-01-04 00:00:00_l17,2025-01-04,Search
Search_2025-01-04 00:00:00_l18,2025-01-04,Search
Search_2025-01-04 00:00:00_l19,2025-01-04,Search
Search_2025-01-04 00:00:00_l20,2025-01-04,Search
Search_2025-01-04 00:00:00_l21,2025-01-04,Search
Social_2025-01-04 00:00:00_l0,2025-01-04,Social
Social_2025-01-04 00:00:00_l1,2025-01-04,Social
Social_2025-01-04 00:00:00_l2,2025-01-04,Social
Social_2025-01-04 00:00:00_l3,2025-01-04,Social
Social_2025-01-04 00:00:00_l4,2025-01-04,Social
Social_2025-01-04 00:00:00_l5,2025-01-04,Social
Social_2025-01-04 00:00:00_l6,2025-01-04,Social
Social_2025-01-04 00:00:00_l7,2025-01-04,Social
Social_2025-01-04 00:00:00_l8,2025-01-04,Social
Social_2025-01-04 00:00:00_l9,2025-01-04,Social
Social_2025-01-04 00:00:00_l10,2025-01-04,Social
Social_2025-01-04 00:00:00_l11,2025-01-04,Social
Social_2025-01-04 00:00:00_l12,2025-01-04,Social
Social_2025-01-04 00:00:00_l13,2025-01-04,Social
Search_2025-01-05 00:00:00_l0,2025-01-05,Search
Search_2025-01-05 00:00:00_l1,2025-01-05,Search
Search_2025-01-05 00:00:00_l2,2025-01-05,Search
Search_2025-01-05 00:00:00_l3,2025-01-05,Search
Search_2025-01-05 00:00:00_l4,2025-01-05,Search
Search_2025-01-05 00:00:00_l5,2025-01-05,Search
Search_2025-01-05 00:00:00_l6,2025-01-05,Search
Search_2025-01-05 00:00:00_l7,2025-01-05,Search
Search_2025-01-05 00:00:00_l8,2025-01-05,Search
Search_2025-01-05 00:00:00_l9,2025-01-05,Search
Search_2025-01-05 00:00:00_l10,2025-01-05,Search
Search_2025-01-05 00:00:00_l11,2025-01-05,Search
Social_2025-01-05 00:00:00_l0,2025-01-05,Social
Social_2025-01-05 00:00:00_l1,2025-01-05,Social
Social_2025-01-05 00:00:00_l2,2025-01-05,Social
Social_2025-01-05 00:00:00_l3,2025-01-05,Social
Social_2025-01-05 00:00:00_l4,2025-01-05,Social
Social_2025-01-05 00:00:00_l5,2025-01-05,Social
Social_2025-01-05 00:00:00_l6,2025-01-05,Social
Social_2025-01-05 00:00:00_l7,2025-01-05,Social
Social_2025-01-05 00:00:00_l8,2025-01-05,Social
Social_2025-01-05 00:00:00_l9,2025-01-05,Social
Social_2025-01-05 00:00:00_l10,2025-01-05,Social
Social_2025-01-05 00:00:00_l11,2025-01-05,Social
Social_2025-01-05 00:00:00_l12,2025-01-05,Social
Social_2025-01-05 00:00:00_l13,2025-01-05,Social
Search_2025-01-06 00:00:00_l0,2025-01-06,Search
Search_2025-01-06 00:00:00_l1,2025-01-06,Search
Search_2025-01-06 00:00:00_l2,2025-01-06,Search
Search_2025-01-06 00:00:00_l3,2025-01-06,Search
Search_2025-01-06 00:00:00_l4,2025-01-06,Search
Search_2025-01-06 00:00:00_l5,2025-01-06,Search
Search_2025-01-06 00:00:00_l6,2025-01-06,Search
Search_2025-01-06 00:00:00_l7,2025-01-06,Search
Search_2025-01-06 00:00:00_l8,2025-01-06,Search
Search_2025-01-06 00:00:00_l9,2025-01-06,Search
Search_2025-01-06 00:00:00_l10,2025-01-06,Search
Search_2025-01-06 00:00:00_l11,2025-01-06,Search
Search_2025-01-06 00:00:00_l12,2025-01-06,Search
Search_2025-01-06 00:00:00_l13,2025-01-06,Search
Search_2025-01-06 00:00:00_l14,2025-01-06,Search
Search_2025-01-06 00:00:00_l15,2025-01-06,Search
Search_2025-01-06 00:00:00_l16,2025-01-06,Search
Search_2025-01-06 00:00:00_l17,2025-01-06,Search
Search_2025-01-06 00:00:00_l18,2025-01-06,Search
Search_2025-01-06 00:00:00_l19,2025-01-06,Search
Search_2025-01-06 00:00:00_l20,2025-01-06,Search
Social_2025-01-06 00:00:00_l0,2025-01-06,Social
Social_2025-01-06 00:00:00_l1,2025-01-06,Social
Social_2025-01-06 00:00:00_l2,2025-01-06,Social
Social_2025-01-06 00:00:00_l3,2025-01-06,Social
Social_2025-01-06 00:00:00_l4,2025-01-06,Social
Social_2025-01-06 00:00:00_l5,2025-01-06,Social
Social_2025-01-06 00:00:00_l6,2025-01-06,Social
Social_2025-01-06 00:00:00_l7,2025-01-06,Social
Social_2025-01-06 00:00:00_l8,2025-01-06,Social
Search_2025-01-07 00:00:00_l0,2025-01-07,Search
Search_2025-01-07 00:00:00_l1,2025-01-07,Search
Search_2025-01-07 00:00:00_l2,2025-01-07,Search
Search_2025-01-07 00:00:00_l3,2025-01-07,Search
Search_2025-01-07 00:00:00_l4,2025-01-07,Search
Search_2025-01-07 00:00:00_l5,2025-01-07,Search
Search_2025-01-07 00:00:00_l6,2025-01-07,Search
Search_2025-01-07 00:00:00_l7,2025-01-07,Search
Search_2025-01-07 00:00:00_l8,2025-01-07,Search
Search_2025-01-07 00:00:00_l9,2025-01-07,Search
Search_2025-01-07 00:00:00_l10,2025-01-07,Search
Search_2025-01-07 00:00:00_l11,2025-01-07,Search
Search_2025-01-07 00:00:00_l12,2025-01-07,Search
Search_2025-01-07 00:00:00_l13,2025-01-07,Search
Search_2025-01-07 00:00:00_l14,2025-01-07,Search
Search_2025-01-07 00:00:00_l15,2025-01-07,Search
Search_2025-01-07 00:00:00_l16,2025-01-07,Search
Search_2025-01-07 00:00:00_l17,2025-01-07,Search
Search_2025-01-07 00:00:00_l18,2025-01-07,Search
Search_2025-01-07 00:00:00_l19,2025-01-07,Search
Search_2025-01-07 00:00:00_l20,2025-01-07,Search
Search_2025-01-07 00:00:00_l21,2025-01-07,Search
Search_2025-01-07 00:00:00_l22,2025-01-07,Search
Search_2025-01-07 00:00:00_l23,2025-01-07,Search
Search_2025-01-07 00:00:00_l24,2025-01-07,Search
Search_2025-01-07 00:00:00_l25,2025-01-07,Search
Search_2025-01-07 00:00:00_l26,2025-01-07,Search
Search_2025-01-07 00:00:00_l27,2025-01-07,Search
Search_2025-01-07 00:00:00_l28,2025-01-07,Search
Search_2025-01-07 00:00:00_l29,2025-01-07,Search
Search_2025-01-07 00:00:00_l30,2025-01-07,Search
Search_2025-01-07 00:00:00_l31,2025-01-07,Search
Search_2025-01-07 00:00:00_l32,2025-01-07,Search
Search_2025-01-07 00:00:00_l33,2025-01-07,Search
Search_2025-01-07 00:00:00_l34,2025-01-07,Search
Search_2025-01-07 00:00:00_l35,2025-01-07,Search
Search_2025-01-07 00:00:00_l36,2025-01-07,Search
Search_2025-01-07 00:00:00_l37,2025-01-07,Search
Social_2025-01-07 00:00:00_l0,2025-01-07,Social
Social_2025-01-07 00:00:00_l1,2025-01-07,Social
Social_2025-01-07 00:00:00_l2,2025-01-07,Social
Social_2025-01-07 00:00:00_l3,2025-01-07,Social
Social_2025-01-07 00:00:00_l4,2025-01-07,Social
Social_2025-01-07 00:00:00_l5,2025-01-07,Social
Social_2025-01-07 00:00:00_l6,2025-01-07,Social
Social_2025-01-07 00:00:00_l7,2025-01-07,Social
Social_2025-01-07 00:00:00_l8,2025-01-07,Social
Search_2025-01-08 00:00:00_l0,2025-01-08,Search
Search_2025-01-08 00:00:00_l1,2025-01-08,Search
Search_2025-01-08 00:00:00_l2,2025-01-08,Search
Search_2025-01-08 00:00:00_l3,2025-01-08,Search
Search_2025-01-08 00:00:00_l4,2025-01-08,Search
Search_2025-01-08 00:00:00_l5,2025-01-08,Search
Search_2025-01-08 00:00:00_l6,2025-01-08,Search
Search_2025-01-08 00:00:00_l7,2025-01-08,Search
Search_2025-01-08 00:00:00_l8,2025-01-08,Search
Search_2025-01-08 00:00:00_l9,2025-01-08,Search
Search_2025-01-08 00:00:00_l10,2025-01-08,Search
Search_2025-01-08 00:00:00_l11,2025-01-08,Search
Search_2025-01-08 00:00:00_l12,2025-01-08,Search
Search_2025-01-08 00:00:00_l13,2025-01-08,Search
Search_2025-01-08 00:00:00_l14,2025-01-08,Search
Search_2025-01-08 00:00:00_l15,2025-01-08,Search
Search_2025-01-08 00:00:00_l16,2025-01-08,Search
Search_2025-01-08 00:00:00_l17,2025-01-08,Search
Search_2025-01-08 00:00:00_l18,2025-01-08,Search
Search_2025-01-08 00:00:00_l19,2025-01-08,Search
Search_2025-01-08 00:00:00_l20,2025-01-08,Search
Search_2025-01-08 00:00:00_l21,2025-01-08,Search
Search_2025-01-08 00:00:00_l22,2025-01-08,Search
Search_2025-01-08 00:00:00_l23,2025-01-08,Search
Search_2025-01-08 00:00:00_l24,2025-01-08,Search
Social_2025-01-08 00:00:00_l0,2025-01-08,Social
Social_2025-01-08 00:00:00_l1,2025-01-08,Social
Social_2025-01-08 00:00:00_l2,2025-01-08,Social
Social_2025-01-08 00:00:00_l3,2025-01-08,Social
Social_2025-01-08 00:00:00_l4,2025-01-08,Social
Social_2025-01-08 00:00:00_l5,2025-01-08,Social
Social_2025-01-08 00:00:00_l6,2025-01-08,Social
Social_2025-01-08 00:00:00_l7,2025-01-08,Social
Social_2025-01-08 00:00:00_l8,2025-01-08,Social
Social_2025-01-08 00:00:00_l9,2025-01-08,Social
Social_2025-01-08 00:00:00_l10,2025-01-08,Social
Social_2025-01-08 00:00:00_l11,2025-01-08,Social
Social_2025-01-08 00:00:00_l12,2025-01-08,Social
Social_2025-01-08 00:00:00_l13,2025-01-08,Social
Social_2025-01-08 00:00:00_l14,2025-01-08,Social
Social_2025-01-08 00:00:00_l15,2025-01-08,Social
Social_2025-01-08 00:00:00_l16,2025-01-08,Social
Social_2025-01-08 00:00:00_l17,2025-01-08,Social
Social_2025-01-08 00:00:00_l18,2025-01-08,Social
Social_2025-01-08 00:00:00_l19,2025-01-08,Social
Social_2025-01-08 00:00:00_l20,2025-01-08,Social
Social_2025-01-08 00:00:00_l21,2025-01-08,Social
Social_2025-01-08 00:00:00_l22,2025-01-08,Social
Social_2025-01-08 00:00:00_l23,2025-01-08,Social
Social_2025-01-08 00:00:00_l24,2025-01-08,Social
Social_2025-01-08 00:00:00_l25,2025-01-08,Social
Social_2025-01-08 00:00:00_l26,2025-01-08,Social
Social_2025-01-08 00:00:00_l27,2025-01-08,Social
Social_2025-01-08 00:00:00_l28,2025-01-08,Social
Social_2025-01-08 00:00:00_l29,2025-01-08,Social
Search_2025-01-09 00:00:00_l0,2025-01-09,Search
Search_2025-01-09 00:00:00_l1,2025-01-09,Search
Search_2025-01-09 00:00:00_l2,2025-01-09,Search
Search_2025-01-09 00:00:00_l3,2025-01-09,Search
Search_2025-01-09 00:00:00_l4,2025-01-09,Search
Search_2025-01-09 00:00:00_l5,2025-01-09,Search
Search_2025-01-09 00:00:00_l6,2025-01-09,Search
Search_2025-01-09 00:00:00_l7,2025-01-09,Search
Search_2025-01-09 00:00:00_l8,2025-01-09,Search
Search_2025-01-09 00:00:00_l9,2025-01-09,Search
Search_2025-01-09 00:00:00_l10,2025-01-09,Search
Search_2025-01-09 00:00:00_l11,2025-01-09,Search
Search_2025-01-09 00:00:00_l12,2025-01-09,Search
Search_2025-01-09 00:00:00_l13,2025-01-09,Search
Search_2025-01-09 00:00:00_l14,2025-01-09,Search
Search_2025-01-09 00:00:00_l15,2025-01-09,Search
Search_2025-01-09 00:00:00_l16,2025-01-09,Search
Social_2025-01-09 00:00:00_l0,2025-01-09,Social
Social_2025-01-09 00:00:00_l1,2025-01-09,Social
Social_2025-01-09 00:00:00_l2,2025-01-09,Social
Social_2025-01-09 00:00:00_l3,2025-01-09,Social
Social_2025-01-09 00:00:00_l4,2025-01-09,Social
Social_2025-01-09 00:00:00_l5,2025-01-09,Social
Social_2025-01-09 00:00:00_l6,2025-01-09,Social
Social_2025-01-09 00:00:00_l7,2025-01-09,Social
Social_2025-01-09 00:00:00_l8,2025-01-09,Social
Social_2025-01-09 00:00:00_l9,2025-01-09,Social
Social_2025-01-09 00:00:00_l10,2025-01-09,Social
Social_2025-01-09 00:00:00_l11,2025-01-09,Social
Social_2025-01-09 00:00:00_l12,2025-01-09,Social
Social_2025-01-09 00:00:00_l13,2025-01-09,Social
Social_2025-01-09 00:00:00_l14,2025-01-09,Social
Social_2025-01-09 00:00:00_l15,2025-01-09,Social
Social_2025-01-09 00:00:00_l16,2025-01-09,Social
Social_2025-01-09 00:00:00_l17,2025-01-09,Social
Social_2025-01-09 00:00:00_l18,2025-01-09,Social
Social_2025-01-09 00:00:00_l19,2025-01-09,Social
Social_2025-01-09 00:00:00_l20,2025-01-09,Social
Social_2025-01-09 00:00:00_l21,2025-01-09,Social
Social_2025-01-09 00:00:00_l22,2025-01-09,Social
Social_2025-01-09 00:00:00_l23,2025-01-09,Social
Social_2025-01-09 00:00:00_l24,2025-01-09,Social
Social_2025-01-09 00:00:00_l25,2025-01-09,Social
Social_2025-01-09 00:00:00_l26,2025-01-09,Social
Social_2025-01-09 00:00:00_l27,2025-01-09,Social
Social_2025-01-09 00:00:00_l28,2025-01-09,Social
Social_2025-01-09 00:00:00_l29,2025-01-09,Social
Search_2025-01-10 00:00:00_l0,2025-01-10,Search
Search_2025-01-10 00:00:00_l1,2025-01-10,Search
Search_2025-01-10 00:00:00_l2,2025-01-10,Search
Search_2025-01-10 00:00:00_l3,2025-01-10,Search
Search_2025-01-10 00:00:00_l4,2025-01-10,Search
Search_2025-01-10 00:00:00_l5,2025-01-10,Search
Search_2025-01-10 00:00:00_l6,2025-01-10,Search
Search_2025-01-10 00:00:00_l7,2025-01-10,Search
Search_2025-01-10 00:00:00_l8,2025-01-10,Search
Search_2025-01-10 00:00:00_l9,2025-01-10,Search
Search_2025-01-10 00:00:00_l10,2025-01-10,Search
Search_2025-01-10 00:00:00_l11,2025-01-10,Search
Search_2025-01-10 00:00:00_l12,2025-01-10,Search
Search_2025-01-10 00:00:00_l13,2025-01-10,Search
Social_2025-01-10 00:00:00_l0,2025-01-10,Social
Social_2025-01-10 00:00:00_l1,2025-01-10,Social
Social_2025-01-10 00:00:00_l2,2025-01-10,Social
Social_2025-01-10 00:00:00_l3,2025-01-10,Social
Social_2025-01-10 00:00:00_l4,2025-01-10,Social
Social_2025-01-10 00:00:00_l5,2025-01-10,Social
Social_2025-01-10 00:00:00_l6,2025-01-10,Social
Social_2025-01-10 00:00:00_l7,2025-01-10,Social
Social_2025-01-10 00:00:00_l8,2025-01-10,Social
Social_2025-01-10 00:00:00_l9,2025-01-10,Social
Social_2025-01-10 00:00:00_l10,2025-01-10,Social
Social_2025-01-10 00:00:00_l11,2025-01-10,Social
Social_2025-01-10 00:00:00_l12,2025-01-10,Social
Search_2025-01-11 00:00:00_l0,2025-01-11,Search
Search_2025-01-11 00:00:00_l1,2025-01-11,Search
Search_2025-01-11 00:00:00_l2,2025-01-11,Search
Search_2025-01-11 00:00:00_l3,2025-01-11,Search
Search_2025-01-11 00:00:00_l4,2025-01-11,Search
Search_2025-01-11 00:00:00_l5,2025-01-11,Search
Search_2025-01-11 00:00:00_l6,2025-01-11,Search
Search_2025-01-11 00:00:00_l7,2025-01-11,Search
Search_2025-01-11 00:00:00_l8,2025-01-11,Search
Search_2025-01-11 00:00:00_l9,2025-01-11,Search
Search_2025-01-11 00:00:00_l10,2025-01-11,Search
Search_2025-01-11 00:00:00_l11,2025-01-11,Search
Search_2025-01-11 00:00:00_l12,2025-01-11,Search
Search_2025-01-11 00:00:00_l13,2025-01-11,Search
Search_2025-01-11 00:00:00_l14,2025-01-11,Search
Search_2025-01-11 00:00:00_l15,2025-01-11,Search
Search_2025-01-11 00:00:00_l16,2025-01-11,Search
Search_2025-01-11 00:00:00_l17,2025-01-11,Search
Search_2025-01-11 00:00:00_l18,2025-01-11,Search
Search_2025-01-11 00:00:00_l19,2025-01-11,Search
Search_2025-01-11 00:00:00_l20,2025-01-11,Search
Search_2025-01-11 00:00:00_l21,2025-01-11,Search
Search_2025-01-11 00:00:00_l22,2025-01-11,Search
Search_2025-01-11 00:00:00_l23,2025-01-11,Search
Search_2025-01-11 00:00:00_l24,2025-01-11,Search
Search_2025-01-11 00:00:00_l25,2025-01-11,Search
Search_2025-01-11 00:00:00_l26,2025-01-11,Search
Search_2025-01-11 00:00:00_l27,2025-01-11,Search
Search_2025-01-11 00:00:00_l28,2025-01-11,Search
Social_2025-01-11 00:00:00_l0,2025-01-11,Social
Social_2025-01-11 00:00:00_l1,2025-01-11,Social
Social_2025-01-11 00:00:00_l2,2025-01-11,Social
Social_2025-01-11 00:00:00_l3,2025-01-11,Social
Social_2025-01-11 00:00:00_l4,2025-01-11,Social
Social_2025-01-11 00:00:00_l5,2025-01-11,Social
Social_2025-01-11 00:00:00_l6,2025-01-11,Social
Social_2025-01-11 00:00:00_l7,2025-01-11,Social
Social_2025-01-11 00:00:00_l8,2025-01-11,Social
Social_2025-01-11 00:00:00_l9,2025-01-11,Social
Social_2025-01-11 00:00:00_l10,2025-01-11,Social
Social_2025-01-11 00:00:00_l11,2025-01-11,Social
Social_2025-01-11 00:00:00_l12,2025-01-11,Social
Social_2025-01-11 00:00:00_l13,2025-01-11,Social
Social_2025-01-11 00:00:00_l14,2025-01-11,Social
Social_2025-01-11 00:00:00_l15,2025-01-11,Social
Social_2025-01-11 00:00:00_l16,2025-01-11,Social
Social_2025-01-11 00:00:00_l17,2025-01-11,Social
Social_2025-01-11 00:00:00_l18,2025-01-11,Social
Social_2025-01-11 00:00:00_l19,2025-01-11,Social
Search_2025-01-12 00:00:00_l0,2025-01-12,Search
Search_2025-01-12 00:00:00_l1,2025-01-12,Search
Search_2025-01-12 00:00:00_l2,2025-01-12,Search
Search_2025-01-12 00:00:00_l3,2025-01-12,Search
Search_2025-01-12 00:00:00_l4,2025-01-12,Search
Search_2025-01-12 00:00:00_l5,2025-01-12,Search
Search_2025-01-12 00:00:00_l6,2025-01-12,Search
Search_2025-01-12 00:00:00_l7,2025-01-12,Search
Search_2025-01-12 00:00:00_l8,2025-01-12,Search
Search_2025-01-12 00:00:00_l9,2025-01-12,Search
Search_2025-01-12 00:00:00_l10,2025-01-12,Search
Search_2025-01-12 00:00:00_l11,2025-01-12,Search
Search_2025-01-12 00:00:00_l12,2025-01-12,Search
Search_2025-01-12 00:00:00_l13,2025-01-12,Search
Search_2025-01-12 00:00:00_l14,2025-01-12,Search
