event_id,event_time,channel,spend
Search_2025-02-02_s,2025-02-02,Search,1710.4776803593263
Social_2025-02-02_s,2025-02-02,Social,5211.427302227692
Search_2025-02-03_s,2025-02-03,Search,5521.080665354129
Social_2025-02-03_s,2025-02-03,Social,2759.0410786927237
Search_2025-02-04_s,2025-02-04,Search,5667.77411010042
Social_2025-02-04_s,2025-02-04,Social,4800.491550519222
Search_2025-02-05_s,2025-02-05,Search,5160.177644793317
Social_2025-02-05_s,2025-02-05,Social,5629.176361346743
Search_2025-02-06_s,2025-02-06,Search,7552.626389246942
Social_2025-02-06_s,2025-02-06,Social,5893.829559015025
Search_2025-02-07_s,2025-02-07,Search,3247.011226829447
Social_2025-02-07_s,2025-02-07,Social,2681.9873572529987
Search_2025-02-08_s,2025-02-08,Search,6364.601099557496
Social_2025-02-08_s,2025-02-08,Social,2513.0761970381495
Search_2025-02-09_s,2025-02-09,Search,3504.085608590712
Social_2025-02-09_s,2025-02-09,Social,2996.1076780024255
Search_2025-02-10_s,2025-02-10,Search,3311.046295438437
Social_2025-02-10_s,2025-02-10,Social,5239.842676858326
Search_2025-02-11_s,2025-02-11,Search,2442.940878282687
Social_2025-02-11_s,2025-02-11,Social,5040.010408577699
Search_2025-02-12_s,2025-02-12,Search,5093.7062499871245
Social_2025-02-12_s,2025-02-12,Social,3205.0222844036816
Search_2025-02-13_s,2025-02-13,Search,5295.734223272814
Social_2025-02-13_s,2025-02-13,Social,4432.588804726812
Search_2025-02-14_s,2025-02-14,Search,6585.947485485458
Social_2025-02-14_s,2025-02-14,Social,1949.5425885116422
Search_2025-02-15_s,2025-02-15,Search,4715.301042143714
Social_2025-02-15_s,2025-02-15,Social,5186.053161557621
Search_2025-02-16_s,2025-02-16,Search,2363.062389975682
Social_2025-02-16_s,2025-02-16,Social,1596.068596457766
Search_2025-02-17_s,2025-02-17,Search,5871.965704452747
Social_2025-02-17_s,2025-02-17,Social,6381.6405600606
Search_2025-02-18_s,2025-02-18,Search,5477.518095594678
Social_2025-02-18_s,2025-02-18,Social,3331.2888079284935
Search_2025-02-19_s,2025-02-19,Search,5379.5749140055905
Social_2025-02-19_s,2025-02-19,Social,5551.35614294671
Search_2025-02-20_s,2025-02-20,Search,2189.4148684736015
Social_2025-02-20_s,2025-02-20,Social,6277.970353744758
Search_2025-02-21_s,2025-02-21,Search,4107.523670547723
Social_2025-02-21_s,2025-02-21,Social,1981.3242490033576
Search_2025-02-22_s,2025-02-22,Search,5950.823904900944
Social_2025-02-22_s,2025-02-22,Social,5426.240287237427
Search_2025-02-23_s,2025-02-23,Search,3611.7763710121767
Social_2025-02-23_s,2025-02-23,Social,3981.5654609036483
Search_2025-02-24_s,2025-02-24,Search,6776.53068282248
Social_2025-02-24_s,2025-02-24,Social,3516.3651213185376
Search_2025-02-25_s,2025-02-25,Search,6056.925634920815
Social_2025-02-25_s,2025-02-25,Social,3512.4150444720526
Search_2025-02-26_s,2025-02-26,Search,4064.5413328091945
Social_2025-02-26_s,2025-02-26,Social,1826.1704423083115
Search_2025-02-27_s,2025-02-27,Search,2737.2146000758
Social_2025-02-27_s,2025-02-27,Social,5393.879506170373
Search_2025-02-28_s,2025-02-28,Search,5981.863086045048
Social_2025-02-28_s,2025-02-28,Social,2797.5111906630354
Search_2025-03-01_s,2025-03-01,Search,2203.141882779286
Social_2025-03-01_s,2025-03-01,Social,3704.2472476737807
Search_2025-03-02_s,2025-03-02,Search,3546.723114023027
Social_2025-03-02_s,2025-03-02,Social,2773.723932636709
Search_2025-03-03_s,2025-03-03,Search,7593.318549499519
Social_2025-03-03_s,2025-03-03,Social,5869.925352767014
Search_2025-03-04_s,2025-03-04,Search,2498.9894399895056
Social_2025-03-04_s,2025-03-04,Social,2091.078827417355
Search_2025-03-05_s,2025-03-05,Search,7923.238822879092
Social_2025-03-05_s,2025-03-05,Social,4018.808835588271
Search_2025-03-06_s,2025-03-06,Search,6889.156472947922
Social_2025-03-06_s,2025-03-06,Social,4728.143689005213
Search_2025-03-07_s,2025-03-07,Search,2999.6367438163106
Social_2025-03-07_s,2025-03-07,Social,1541.8007999215877
Search_2025-03-08_s,2025-03-08,Search,5821.622661786502
Social_2025-03-08_s,2025-03-08,Social,4087.804260481507
Search_2025-03-09_s,2025-03-09,Search,3790.5394742118224
Social_2025-03-09_s,2025-03-09,Social,3094.7611196528574
Search_2025-03-10_s,2025-03-10,Search,1894.9999081106344
Social_2025-03-10_s,2025-03-10,Social,4019.447993702863
Search_2025-03-11_s,2025-03-11,Search,5590.321911095336
Social_2025-03-11_s,2025-03-11,Social,2490.7068142938942
Search_2025-03-12_s,2025-03-12,Search,4552.410958918877
Social_2025-03-12_s,2025-03-12,Social,3026.255996406731
Search_2025-03-13_s,2025-03-13,Search,6650.119818291303
Social_2025-03-13_s,2025-03-13,Social,4034.285602798854
Search_2025-03-14_s,2025-03-14,Search,7245.756853638984
Social_2025-03-14_s,2025-03-14,Social,3325.224666289648
Search_2025-03-15_s,2025-03-15,Search,3525.6024594466444
Social_2025-03-15_s,2025-03-15,Social,3563.9503871718675
Search_2025-03-16_s,2025-03-16,Search,5413.489899754712
Social_2025-03-16_s,2025-03-16,Social,1743.0355164171447
Search_2025-03-17_s,2025-03-17,Search,3913.9582916777445
Social_2025-03-17_s,2025-03-17,Social,3133.6090827452113
Search_2025-03-18_s,2025-03-18,Search,3214.686257872556
Social_2025-03-18_s,2025-03-18,Social,4217.762207980871
Search_2025-03-19_s,2025-03-19,Search,3864.691271269499
Social_2025-03-19_s,2025-03-19,Social,6049.159222336385
Search_2025-03-20_s,2025-03-20,Search,8071.811270106355
Social_2025-03-20_s,2025-03-20,Social,4571.16540367837
Search_2025-03-21_s,2025-03-21,Search,7289.497827458599
Social_2025-03-21_s,2025-03-21,Social,4139.2069770399185
Search_2025-03-22_s,2025-03-22,Search,2790.4608193634776
Social_2025-03-22_s,2025-03-22,Social,4398.743289698443
Search_2025-03-23_s,2025-03-23,Search,3101.353655287944
Social_2025-03-23_s,2025-03-23,Social,2370.7073751638127
Search_2025-03-24_s,2025-03-24,Search,5835.054128804834
Social_2025-03-24_s,2025-03-24,Social,1888.317599112007
Search_2025-03-25_s,2025-03-25,Search,2653.495897858664
Social_2025-03-25_s,2025-03-25,Social,5271.298717200547
Search_2025-03-26_s,2025-03-26,Search,4814.766897537032
Social_2025-03-26_s,2025-03-26,Social,2733.123808289105
Search_2025-03-27_s,2025-03-27,Search,6240.727464540335
Social_2025-03-27_s,2025-03-27,Social,2492.654702648702
Search_2025-03-28_s,2025-03-28,Search,4334.074598124963
Social_2025-03-28_s,2025-03-28,Social,5134.3894816668935
Search_2025-03-29_s,2025-03-29,Search,5568.2954781901535
Social_2025-03-29_s,2025-03-29,Social,5360.326333880041
Search_2025-03-30_s,2025-03-30,Search,4077.1861861395087
Social_2025-03-30_s,2025-03-30,Social,2021.895220751763
Search_2025-03-31_s,2025-03-31,Search,7490.697116879034
Social_2025-03-31_s,2025-03-31,Social,6658.709224799928
Search_2025-04-01_s,2025-04-01,Search,1736.8716545529246
Social_2025-04-01_s,2025-04-01,Social,4885.653967260062
Search_2025-04-02_s,2025-04-02,Search,2997.004234456656
Social_2025-04-02_s,2025-04-02,Social,3830.1288667880694
Search_2025-04-03_s,2025-04-03,Search,3050.784915739465
Social_2025-04-03_s,2025-04-03,Social,5352.325034253109
Search_2025-04-04_s,2025-04-04,Search,4174.513729099973
Social_2025-04-04_s,2025-04-04,Social,5811.413806469506
Search_2025-04-05_s,2025-04-05,Search,6274.8355925689
Social_2025-04-05_s,2025-04-05,Social,4947.532414618229
Search_2025-04-06_s,2025-04-06,Search,4921.085968540846
Social_2025-04-06_s,2025-04-06,Social,4891.232909228703
Search_2025-04-07_s,2025-04-07,Search,5567.254819870932
Social_2025-04-07_s,2025-04-07,Social,3060.3735323199594
Search_2025-04-08_s,2025-04-08,Search,2701.462143237359
Social_2025-04-08_s,2025-04-08,Social,6090.676942119634
Search_2025-04-09_s,2025-04-09,Search,2793.446302299475
Social_2025-04-09_s,2025-04-09,Social,1722.7720946122927
Search_2025-04-10_s,2025-04-10,Search,4998.399789909692
Social_2025-04-10_s,2025-04-10,Social,4062.647010468058
Search_2025-04-11_s,2025-04-11,Search,4125.850405731925
Social_2025-04-11_s,2025-04-11,Social,5026.420152680663
Search_2025-04-12_s,2025-04-12,Search,5804.887834617275
Social_2025-04-12_s,2025-04-12,Social,4231.392052348452
Search_2025-04-13_s,2025-04-13,Search,3779.631804695187
Social_2025-04-13_s,2025-04-13,Social,2548.7481041818824
Search_2025-04-14_s,2025-04-14,Search,1867.4220837256796
Social_2025-04-14_s,2025-04-14,Social,5203.418502187494
Search_2025-04-15_s,2025-04-15,Search,6810.072088641214
Social_2025-04-15_s,2025-04-15,Social,2220.3201424328113
Search_2025-04-16_s,2025-04-16,Search,1806.9462121142012
Social_2025-04-16_s,2025-04-16,Social,4075.4401528957555
Search_2025-04-17_s,2025-04-17,Search,6142.119320660983
Social_2025-04-17_s,2025-04-17,Social,3953.5215592281634
Search_2025-04-18_s,2025-04-18,Search,2696.325166221252
Social_2025-04-18_s,2025-04-18,Social,2865.636626743414
Search_2025-04-19_s,2025-04-19,Search,1848.6778122371659
Social_2025-04-19_s,2025-04-19,Social,4308.860641693415
Search_2025-04-20_s,2025-04-20,Search,6142.954906503846
Social_2025-04-20_s,2025-04-20,Social,4339.8271091151355
Search_2025-04-21_s,2025-04-21,Search,2989.19946568924
Social_2025-04-21_s,2025-04-21,Social,3990.227827545036
Search_2025-04-22_s,2025-04-22,Search,2691.817178631217
Social_2025-04-22_s,2025-04-22,Social,6105.548181693753
Search_2025-04-23_s,2025-04-23,Search,2882.2839031249764
Social_2025-04-23_s,2025-04-23,Social,4624.853030527018
Search_2025-04-24_s,2025-04-24,Search,2836.1086817286973
Social_2025-04-24_s,2025-04-24,Social,2636.5529802540373
Search_2025-04-25_s,2025-04-25,Search,4075.449519451564
Social_2025-04-25_s,2025-04-25,Social,5867.012432369672
Search_2025-04-26_s,2025-04-26,Search,3406.6542963756833
Social_2025-04-26_s,2025-04-26,Social,4410.9643313960005
Search_2025-04-27_s,2025-04-27,Search,4039.9294408600426
Social_2025-04-27_s,2025-04-27,Social,4511.717551858346
Search_2025-04-28_s,2025-04-28,Search,5586.284256403109
Social_2025-04-28_s,2025-04-28,Social,3677.377858252203
Search_2025-04-29_s,2025-04-29,Search,2057.978342153496
Social_2025-04-29_s,2025-04-29,Social,5234.825488504166
Search_2025-04-30_s,2025-04-30,Search,3791.8556183745
Social_2025-04-30_s,2025-04-30,Social,3771.239964395456
Search_2025-05-01_s,2025-05-01,Search,7215.42849556695
Social_2025-05-01_s,2025-05-01,Social,4195.445238330929
Search_2025-05-02_s,2025-05-02,Search,3478.2612115036527
Social_2025-05-02_s,2025-05-02,Social,5624.396205336965
Search_2025-05-03_s,2025-05-03,Search,1940.3023117791433
Social_2025-05-03_s,2025-05-03,Social,4773.7956300351425
Search_2025-05-04_s,2025-05-04,Search,2100.002860924902
Social_2025-05-04_s,2025-05-04,Social,3506.777791926705
Search_2025-05-05_s,2025-05-05,Search,2408.956198773885
Social_2025-05-05_s,2025-05-05,Social,4602.157915559185
Search_2025-05-06_s,2025-05-06,Search,2077.043163838138
Social_2025-05-06_s,2025-05-06,Social,4759.23251954029
Search_2025-05-07_s,2025-05-07,Search,5231.048434156995
Social_2025-05-07_s,2025-05-07,Social,5953.79582794883
Search_2025-05-08_s,2025-05-08,Search,7317.197265386576
Social_2025-05-08_s,2025-05-08,Social,2312.846314467035
Search_2025-05-09_s,2025-05-09,Search,6848.822101279895
Social_2025-05-09_s,2025-05-09,Social,1892.235685604286
Search_2025-05-10_s,2025-05-10,Search,3271.717095720565
Social_2025-05-10_s,2025-05-10,Social,2558.4654546278402
Search_2025-05-11_s,2025-05-11,Search,6174.4113422213895
Social_2025-05-11_s,2025-05-11,Social,4651.920390252031
Search_2025-05-12_s,2025-05-12,Search,5482.912104159322
Social_2025-05-12_s,2025-05-12,Social,3499.6616691832573
Search_2025-05-13_s,2025-05-13,Search,5475.47234763716
Social_2025-05-13_s,2025-05-13,Social,5447.198040950776
Search_2025-05-14_s,2025-05-14,Search,4819.017526892185
Social_2025-05-14_s,2025-05-14,Social,2171.753348552661
Search_2025-05-15_s,2025-05-15,Search,6908.659364851487
Social_2025-05-15_s,2025-05-15,Social,5253.0766833605985
Search_2025-05-16_s,2025-05-16,Search,6015.169574983651
Social_2025-05-16_s,2025-05-16,Social,4030.508919174099
Search_2025-05-17_s,2025-05-17,Search,5506.727085588386
Social_2025-05-17_s,2025-05-17,Social,4927.858992096985
Search_2025-05-18_s,2025-05-18,Search,2659.578220741529
Social_2025-05-18_s,2025-05-18,Social,4855.013635545571
Search_2025-05-19_s,2025-05-19,Search,3303.9669966318847
Social_2025-05-19_s,2025-05-19,Social,2894.002413948161
Search_2025-05-20_s,2025-05-20,Search,4471.815023008705
Social_2025-05-20_s,2025-05-20,Social,5281.499608076106
Search_2025-05-21_s,2025-05-21,Search,2295.1413125898675
Social_2025-05-21_s,2025-05-21,Social,3040.063941228088
Search_2025-05-22_s,2025-05-22,Search,3230.8201304021713
Social_2025-05-22_s,2025-05-22,Social,3616.0103490888437
Search_2025-05-23_s,2025-05-23,Search,2694.6623810827755
Social_2025-05-23_s,2025-05-23,Social,5327.510142209209
Search_2025-05-24_s,2025-05-24,Search,3202.4216767997395
Social_2025-05-24_s,2025-05-24,Social,3804.7223596333947
Search_2025-05-25_s,2025-05-25,Search,5443.776858370801
Social_2025-05-25_s,2025-05-25,Social,1299.2500400148497
Search_2025-05-26_s,2025-05-26,Search,7077.344465240994
Social_2025-05-26_s,2025-05-26,Social,6000.704990786154
Search_2025-05-27_s,2025-05-27,Search,5882.589619259862
Social_2025-05-27_s,2025-05-27,Social,3781.761483825629
Search_2025-05-28_s,2025-05-28,Search,5069.14088681746
Social_2025-05-28_s,2025-05-28,Social,5913.597151082243
Search_2025-05-29_s,2025-05-29,Search,4454.743923763811
Social_2025-05-29_s,2025-05-29,Social,2892.719062158219
Search_2025-05-30_s,2025-05-30,Search,7024.349180026999
Social_2025-05-30_s,2025-05-30,Social,3013.9247550792697
Search_2025-05-31_s,2025-05-31,Search,5604.485470562707
Social_2025-05-31_s,2025-05-31,Social,3255.7099814589346
Search_2025-06-01_s,2025-06-01,Search,1879.6958285527503
Social_2025-06-01_s,2025-06-01,Social,3479.604742799368
Search_2025-06-02_s,2025-06-02,Search,1782.5302939893497
Social_2025-06-02_s,2025-06-02,Social,3420.569595938223
Search_2025-06-03_s,2025-06-03,Search,6488.544898073452
Social_2025-06-03_s,2025-06-03,Social,2640.6018631982324
Search_2025-06-04_s,2025-06-04,Search,3106.793526906667
Social_2025-06-04_s,2025-06-04,Social,5157.431518475277
Search_2025-06-05_s,2025-06-05,Search,2447.411285554775
Social_2025-06-05_s,2025-06-05,Social,5615.373598131371
Search_2025-06-06_s,2025-06-06,Search,1672.6361528499115
Social_2025-06-06_s,2025-06-06,Social,4577.028056400519
Search_2025-06-07_s,2025-06-07,Search,1974.07872312176
Social_2025-06-07_s,2025-06-07,Social,1772.338693205561
Search_2025-06-08_s,2025-06-08,Search,1921.7620654022617
Social_2025-06-08_s,2025-06-08,Social,3871.042255853751
Search_2025-06-09_s,2025-06-09,Search,5007.028247903204
Social_2025-06-09_s,2025-06-09,Social,3520.236479742642
Search_2025-06-10_s,2025-06-10,Search,4496.489595331714
Social_2025-06-10_s,2025-06-10,Social,2119.42249652799
Search_2025-06-11_s,2025-06-11,Search,2357.597795128044
Social_2025-06-11_s,2025-06-11,Social,5433.279322701708
Search_2025-06-12_s,2025-06-12,Search,3102.6381781803943
Social_2025-06-12_s,2025-06-12,Social,4986.887777000368
Search_2025-06-13_s,2025-06-13,Search,4926.867450942875
Social_2025-06-13_s,2025-06-13,Social,5612.771995692581
Search_2025-06-14_s,2025-06-14,Search,5918.936990518863
Social_2025-06-14_s,2025-06-14,Social,1591.6008389518586
Search_2025-06-15_s,2025-06-15,Search,5297.017419300378
Social_2025-06-15_s,2025-06-15,Social,3886.9088612682217
Search_2025-06-16_s,2025-06-16,Search,1787.3179519532641
Social_2025-06-16_s,2025-06-16,Social,5052.600247655089
Search_2025-06-17_s,2025-06-17,Search,5680.65848877643
Social_2025-06-17_s,2025-06-17,Social,2394.308297922481
Search_2025-06-18_s,2025-06-18,Search,4824.141207413251
Social_2025-06-18_s,2025-06-18,Social,3279.194997479939
Search_2025-06-19_s,2025-06-19,Search,1878.3485225988645
Social_2025-06-19_s,2025-06-19,Social,3771.9219530084533
Search_2025-06-20_s,2025-06-20,Search,5508.16795868741
Social_2025-06-20_s,2025-06-20,Social,3199.459571062847
Search_2025-06-21_s,2025-06-21,Search,4680.617925550344
Social_2025-06-21_s,2025-06-21,Social,2377.3485108285586
Search_2025-06-22_s,2025-06-22,Search,4568.740333025965
Social_2025-06-22_s,2025-06-22,Social,3304.0024561604555
Search_2025-06-23_s,2025-06-23,Search,2994.9607473451124
Social_2025-06-23_s,2025-06-23,Social,4914.274826173992
Search_2025-06-24_s,2025-06-24,Search,6698.4773702679395
Social_2025-06-24_s,2025-06-24,Social,5809.550391095088
Search_2025-06-25_s,2025-06-25,Search,6957.266793476306
Social_2025-06-25_s,2025-06-25,Social,4209.484076828768
Search_2025-06-26_s,2025-06-26,Search,6860.4209896069915
Social_2025-06-26_s,2025-06-26,Social,3636.6597783328743
Search_2025-06-27_s,2025-06-27,Search,3494.0937177944706
Social_2025-06-27_s,2025-06-27,Social,4264.937632742115
Search_2025-06-28_s,2025-06-28,Search,5814.194554908044
Social_2025-06-28_s,2025-06-28,Social,2136.348995512581
Search_2025-06-29_s,2025-06-29,Search,1442.0884121170727
Social_2025-06-29_s,2025-06-29,Social,2314.9870602886253
Search_2025-06-30_s,2025-06-30,Search,2995.7741625058297
Social_2025-06-30_s,2025-06-30,Social,4371.631225252577
Search_2025-07-01_s,2025-07-01,Search,6850.031089897176
Social_2025-07-01_s,2025-07-01,Social,5302.523732457776
Search_2025-07-02_s,2025-07-02,Search,4386.3318867799535
Social_2025-07-02_s,2025-07-02,Social,4690.996914550758
Search_2025-07-03_s,2025-07-03,Search,3351.2541231217165
Social_2025-07-03_s,2025-07-03,Social,3852.9409145561563
Search_2025-07-04_s,2025-07-04,Search,5824.600581334914
Social_2025-07-04_s,2025-07-04,Social,5250.829522262097
Search_2025-07-05_s,2025-07-05,Search,3545.1893799034724
Social_2025-07-05_s,2025-07-05,Social,3149.549434765407
Search_2025-07-06_s,2025-07-06,Search,1910.097227956723
Social_2025-07-06_s,2025-07-06,Social,2984.704086581732
Search_2025-07-07_s,2025-07-07,Search,6776.38103023409
Social_2025-07-07_s,2025-07-07,Social,2377.0213784483158
Search_2025-07-08_s,2025-07-08,Search,3102.3979057126994
Social_2025-07-08_s,2025-07-08,Social,2335.9830720329246
Search_2025-07-09_s,2025-07-09,Search,5463.592006154119
Social_2025-07-09_s,2025-07-09,Social,4032.587904235464
Search_2025-07-10_s,2025-07-10,Search,6224.647209859924
Social_2025-07-10_s,2025-07-10,Social,2303.552929850044
Search_2025-07-11_s,2025-07-11,Search,4118.666291368985
Social_2025-07-11_s,2025-07-11,Social,1751.5157388294917
Search_2025-07-12_s,2025-07-12,Search,5595.778080395173
Social_2025-07-12_s,2025-07-12,Social,2839.699417038819
Search_2025-07-13_s,2025-07-13,Search,3064.99120416028
Social_2025-07-13_s,2025-07-13,Social,2183.508509469301
Search_2025-07-14_s,2025-07-14,Search,5494.152850375158
Social_2025-07-14_s,2025-07-14,Social,5513.083380591356
Search_2025-07-15_s,2025-07-15,Search,5686.038226401243
Social_2025-07-15_s,2025-07-15,Social,2792.94746933089
Search_2025-07-16_s,2025-07-16,Search,1911.51788557036
Social_2025-07-16_s,2025-07-16,Social,5282.790528843659
Search_2025-07-17_s,2025-07-17,Search,1743.588384046618
Social_2025-07-17_s,2025-07-17,Social,4606.374900506895
Search_2025-07-18_s,2025-07-18,Search,4763.4918187416115
Social_2025-07-18_s,2025-07-18,Social,3175.1170166942197
Search_2025-07-19_s,2025-07-19,Search,3205.539637928267
Social_2025-07-19_s,2025-07-19,Social,2518.343612609395
Search_2025-07-20_s,2025-07-20,Search,1459.6292252861062
Social_2025-07-20_s,2025-07-20,Social,3188.984045412073
Search_2025-07-21_s,2025-07-21,Search,3827.578530953451
Social_2025-07-21_s,2025-07-21,Social,3940.138376572351
Search_2025-07-22_s,2025-07-22,Search,5132.564000236696
Social_2025-07-22_s,2025-07-22,Social,4204.701403831789
Search_2025-07-23_s,2025-07-23,Search,6639.616722359862
Social_2025-07-23_s,2025-07-23,Social,4618.359163269251
Search_2025-07-24_s,2025-07-24,Search,6647.263530493728
Social_2025-07-24_s,2025-07-24,Social,2561.4650294651606
Search_2025-07-25_s,2025-07-25,Search,6554.724506134151
Social_2025-07-25_s,2025-07-25,Social,3849.951727602058
Search_2025-07-26_s,2025-07-26,Search,2149.6232575488375
Social_2025-07-26_s,2025-07-26,Social,2996.4457107216012
Search_2025-07-27_s,2025-07-27,Search,5783.978631786645
Social_2025-07-27_s,2025-07-27,Social,2284.508791692393
Search_2025-07-28_s,2025-07-28,Search,2968.8482598011
Social_2025-07-28_s,2025-07-28,Social,2027.2862634796745
Search_2025-07-29_s,2025-07-29,Search,5389.535111388595
Social_2025-07-29_s,2025-07-29,Social,2821.9093430427088
Search_2025-07-30_s,2025-07-30,Search,2099.089029933145
Social_2025-07-30_s,2025-07-30,Social,4435.254583278327
Search_2025-07-31_s,2025-07-31,Search,2075.1590716391825
Social_2025-07-31_s,2025-07-31,Social,3325.9807813256716
Search_2025-08-01_s,2025-08-01,Search,2122.463463614858
Social_2025-08-01_s,2025-08-01,Social,4069.781971287036
Search_2025-08-02_s,2025-08-02,Search,4094.488796232863
Social_2025-08-02_s,2025-08-02,Social,4040.548434841575
Search_2025-08-03_s,2025-08-03,Search,4545.094700340071
Social_2025-08-03_s,2025-08-03,Social,2279.9087891791555
Search_2025-08-04_s,2025-08-04,Search,1993.2442667311752
Social_2025-08-04_s,2025-08-04,Social,3829.410886709327
Search_2025-08-05_s,2025-08-05,Search,5170.450563931908
Social_2025-08-05_s,2025-08-05,Social,4855.537829542701
Search_2025-08-06_s,2025-08-06,Search,6777.440122533647
Social_2025-08-06_s,2025-08-06,Social,5594.362787714952
Search_2025-08-07_s,2025-08-07,Search,5652.352982790654
Social_2025-08-07_s,2025-08-07,Social,4701.834271658231
Search_2025-08-08_s,2025-08-08,Search,5815.555378368748
Social_2025-08-08_s,2025-08-08,Social,3569.5955488608556
Search_2025-08-09_s,2025-08-09,Search,3886.063063730764
Social_2025-08-09_s,2025-08-09,Social,2995.308076259835
Search_2025-08-10_s,2025-08-10,Search,4862.395679796614
Social_2025-08-10_s,2025-08-10,Social,2903.0708607498027
Search_2025-08-11_s,2025-08-11,Search,6736.875825646218
Social_2025-08-11_s,2025-08-11,Social,4285.524991229795
Search_2025-08-12_s,2025-08-12,Search,2736.946129090457
Social_2025-08-12_s,2025-08-12,Social,3278.850917036222
Search_2025-08-13_s,2025-08-13,Search,4527.354237292746
Social_2025-08-13_s,2025-08-13,Social,3618.43872766416
Search_2025-08-14_s,2025-08-14,Search,3100.515067171623
Social_2025-08-14_s,2025-08-14,Social,3754.5969003691466
Search_2025-08-15_s,2025-08-15,Search,5040.211006027991
Social_2025-08-15_s,2025-08-15,Social,1755.693696612461
Search_2025-08-16_s,2025-08-16,Search,1479.4310994999926
Social_2025-08-16_s,2025-08-16,Social,2195.4343282937607
Search_2025-08-17_s,2025-08-17,Search,1860.6287040540874
Social_2025-08-17_s,2025-08-17,Social,3026.1923693892563
Search_2025-08-18_s,2025-08-18,Search,5412.979533385212
Social_2025-08-18_s,2025-08-18,Social,1418.7446372107677
